fid,공공문화체육
2881,2
2909,0
2910,2
2911,2
2912,0
2913,0
2914,1
2915,2
2916,2
2917,1
2918,0
2919,0
2920,0
2921,0
2922,1
2923,0
2924,0
2925,0
2926,0
2927,0
2928,0
2929,0
2930,0
2931,1
2932,0
2935,0
2936,0
2937,0
2938,0
2939,0
2940,3
2941,3
2942,0
2943,0
2944,1
2945,1
2946,4
2947,0
2948,1
2949,0
2950,1
2951,1
2952,0
2954,0
2955,5
2957,0
2958,2
2981,51
2985,2
2986,0
2987,0
2988,3
2989,0
2990,1
2991,0
2992,0
2993,1
2994,0
2995,2
2996,1
2997,0
2998,1
2999,6
3000,0
3001,0
3002,2
3003,0
3004,0
3005,0
3006,0
3007,1
3011,0
3012,0
3013,0
3014,0
3015,0
3016,0
3017,1
3018,0
3019,3
3020,0
3021,1
3022,0
3023,0
3024,2
3025,1
3026,1
3027,0
3028,1
3029,1
3030,1
3031,0
3033,0
3062,2
3063,2
3064,0
3065,1
3066,0
3067,0
3068,0
3069,0
3070,0
3071,1
3072,0
3073,1
3074,1
3075,1
3076,1
3078,0
3079,1
3080,0
3081,2
3082,2
3083,0
3088,0
3089,1
3090,0
3091,3
3092,0
3093,0
3094,1
3095,0
3096,2
3097,1
3098,0
3099,1
3100,0
3101,0
3102,0
3103,0
3104,2
3105,0
3106,1
3107,0
3108,0
3134,1
3137,3
3138,2
3139,1
3140,0
3141,1
3142,0
3143,1
3144,1
3149,1
3150,0
3151,0
3152,0
3153,1
3154,0
3155,0
3156,0
3157,0
3158,2
3159,1
3164,0
3165,0
3166,0
3167,0
3168,0
3169,1
3170,2
3171,0
3172,1
3173,0
3174,1
3175,1
3176,0
3177,1
3178,1
3179,0
3180,0
3181,3
3182,0
3183,0
3212,3
3215,1
3216,0
3217,2
3218,1
3219,0
3220,2
3221,0
3223,0
3224,0
3226,2
3227,0
3228,1
3229,2
3230,0
3231,1
3232,0
3233,0
3234,0
3235,3
3236,0
3241,0
3242,0
3243,0
3244,0
3245,2
3246,1
3247,2
3248,0
3249,0
3250,0
3251,2
3252,3
3253,0
3254,2
3255,1
3256,1
3257,1
3258,0
3259,1
3286,0
3293,0
3294,3
3295,1
3296,1
3298,1
3299,0
3300,2
3301,0
3302,2
3303,1
3304,0
3307,0
3308,1
3309,3
3310,2
3311,4
3317,4
3318,0
3319,0
3320,0
3321,3
3322,1
3323,0
3324,3
3325,0
3326,1
3327,0
3328,0
3329,1
3330,0
3331,0
3332,3
3333,0
3334,0
3361,1
3375,0
3377,2
3379,2
3384,0
3385,1
3387,1
3388,1
3395,0
3396,0
3397,4
3398,0
3399,2
3400,0
3401,2
3403,1
3404,1
3405,0
3406,1
3407,0
3408,0
3409,1
3410,0
3411,0
3450,1
3451,3
3452,1
3456,0
3460,1
3461,1
3462,3
3463,0
3464,8
3465,2
3471,0
3472,1
3473,3
3474,0
3475,0
3476,2
3477,1
3478,0
3479,3
3480,1
3481,1
3482,2
3484,2
3485,1
3524,4
3525,4
3526,1
3527,0
3528,1
3529,1
3532,0
3533,0
3536,4
3537,3
3538,1
3539,10
3540,0
3541,0
3542,0
3548,0
3549,3
3550,0
3551,1
3552,1
3553,0
3554,1
3555,2
3556,1
3557,0
3558,0
3559,0
3560,0
3561,0
3601,1
3602,2
3604,2
3610,0
3611,1
3612,0
3613,4
3614,0
3615,0
3616,0
3617,1
3618,2
3619,1
3624,0
3625,1
3626,2
3627,0
3628,0
3629,1
3630,2
3631,0
3632,0
3633,0
3634,3
3635,3
3636,0
3673,1
3683,0
3684,0
3686,1
3687,4
3688,5
3689,2
3690,4
3691,0
3692,1
3693,0
3694,0
3695,1
3696,0
3697,0
3701,1
3702,1
3704,0
3705,3
3706,0
3707,1
3708,2
3709,1
3710,3
3711,0
3712,0
3713,0
3750,0
3751,1
3752,1
3759,1
3760,0
3761,2
3762,1
3763,1
3764,1
3765,2
3766,1
3767,0
3768,1
3769,1
3770,0
3771,0
3772,0
3773,0
3777,4
3778,3
3779,1
3780,1
3781,1
3782,0
3783,3
3784,2
3785,2
3786,1
3787,0
3788,0
3827,0
3828,0
3829,1
3834,0
3835,0
3836,4
3837,3
3838,3
3839,1
3840,0
3841,1
3842,4
3843,3
3844,1
3845,2
3846,1
3847,0
3848,0
3849,2
3850,0
3854,2
3855,7
3856,0
3857,0
3858,1
3859,1
3860,0
3861,1
3862,1
3863,2
3864,0
3865,0
3902,0
3907,0
3908,1
3909,1
3910,3
3911,0
3912,0
3913,1
3914,2
3915,1
3916,2
3917,2
3918,0
3919,1
3920,1
3921,2
3922,0
3923,0
3924,3
3925,1
3926,0
3930,9
3931,7
3932,0
3933,0
3934,0
3935,3
3936,2
3937,0
3938,1
3939,0
3940,0
3977,1
3978,5
3984,1
3985,3
3986,2
3987,1
3988,1
3989,1
3990,4
3991,0
3992,0
3993,0
3994,0
3995,0
3996,2
3997,0
3998,2
3999,1
4000,0
4001,0
4002,0
4003,1
4007,1
4008,0
4009,0
4010,0
4011,0
4012,1
4013,2
4014,2
4015,1
4016,2
4052,0
4053,0
4060,0
4061,1
4062,1
4063,3
4064,1
4065,4
4066,2
4067,2
4068,0
4069,1
4070,0
4071,3
4072,0
4073,0
4074,0
4075,1
4076,0
4077,0
4078,2
4079,2
4083,0
4084,0
4085,0
4086,0
4087,2
4088,2
4089,1
4090,0
4091,1
4092,0
4129,0
4136,0
4137,0
4138,0
4139,0
4140,3
4141,0
4142,1
4143,0
4144,0
4145,0
4146,0
4147,0
4148,1
4149,0
4150,0
4151,0
4152,0
4153,0
4154,0
4155,1
4160,0
4161,0
4162,1
4163,1
4164,0
4165,2
4166,0
4167,0
4168,0
4211,1
4212,2
4213,0
4214,3
4215,4
4216,2
4217,1
4218,0
4219,1
4220,2
4221,0
4222,1
4223,0
4224,1
4225,0
4226,0
4227,0
4228,0
4229,0
4230,0
4231,0
4235,1
4236,0
4237,0
4238,1
4239,1
4240,0
4241,2
4242,1
4243,1
4244,0
4288,2
4289,1
4290,3
4291,0
4292,3
4293,0
4294,0
4295,0
4296,3
4300,1
4301,0
4302,1
4303,0
4304,0
4305,0
4306,0
4307,0
4311,0
4312,3
4313,0
4314,0
4315,3
4316,1
4317,0
4318,1
4319,1
4361,1
4362,2
4364,0
4365,0
4366,2
4367,2
4368,2
4369,3
4370,0
4371,0
4372,0
4374,0
4375,1
4376,1
4377,2
4378,0
4379,1
4380,0
4381,1
4382,2
4386,0
4387,1
4388,0
4389,1
4390,0
4391,1
4392,0
4393,2
4394,1
4395,1
4437,0
4438,0
