fid,도로길이,도로개수
1499,3901.81219514987,45
1500,4131.17349492836,60
1501,3615.64081656326,48
1502,3407.96732968033,37
1504,939.052405939297,8
1557,533.904008188682,5
1558,1312.79512140424,6
1559,1172.13457672339,4
1560,2156.27672572166,16
1561,367.942697975468,5
1562,2854.78116783815,25
1563,4384.77480499825,49
1564,4900.71675555148,54
1565,4728.85136733081,53
1566,4087.85253574474,47
1567,4753.69503880391,50
1568,4721.6222244622,49
1569,3883.23324025298,21
1570,3522.18885863644,27
1571,1651.74678984242,10
1572,504.243087385112,2
1573,580.418234173205,3
1574,2311.05936854741,27
1575,6185.09444771553,71
1576,5413.63482448699,71
1577,3673.90071397097,41
1578,2777.11607864537,40
1584,0,0
1633,1225.4941807393,5
1634,1655.609429023,9
1635,1279.74481004833,4
1636,1766.93672725223,15
1637,4105.06768818543,37
1638,4472.4979028958,49
1639,4323.97276386644,47
1640,4023.01395650098,44
1641,5073.05828751893,57
1642,4758.55857574014,52
1643,4509.25377644402,37
1644,4367.43340646543,31
1645,2854.21610862154,26
1646,3647.01071147596,32
1647,3044.3452800076,28
1648,335.737493277889,2
1649,375.96384940468,3
1650,3697.89609064143,50
1651,6026.88066955215,83
1652,2769.06565999107,30
1653,2604.24894532261,21
1710,666.083687642085,4
1711,1738.96665047105,11
1712,1842.58870883579,12
1713,3630.1577920789,33
1714,2926.46184764856,31
1715,2411.84531487551,28
1716,115.396855692414,3
1717,979.633493625216,10
1718,3102.9777856383,31
1719,4789.22159529383,62
1720,4377.08957331688,35
1721,5185.93306517083,47
1722,4278.69161821531,33
1723,2340.05615719666,15
1724,1246.84478142527,9
1725,308.206497413035,2
1726,2371.75960746539,21
1727,4029.13894545171,53
1728,5672.70736234801,64
1729,1694.48230676485,18
1730,3980.92610264589,34
1731,3901.32176348144,34
1732,4071.50668654078,39
1786,1084.5005383709,4
1787,1522.92854513536,7
1788,3065.95830812023,20
1789,1447.66858676374,18
1790,1522.76395081978,19
1791,1335.657709998,17
1793,2333.89044956818,23
1794,4635.15804834267,38
1795,4383.35057775278,35
1796,3922.9146191483,28
1797,4260.25524907942,33
1798,2484.78558322459,16
1799,547.33622027992,5
1800,1190.86698892281,6
1801,1387.73384996755,5
1802,2786.12766930839,33
1803,4158.14927678419,59
1804,1926.65982347944,20
1805,3084.34194279602,20
1806,1806.49450344272,23
1863,1133.88613748851,5
1864,1152.62708026736,6
1865,3180.74320161687,37
1866,3897.49520388191,36
1867,4304.55043412905,45
1868,2023.4470507185,22
1869,576.659816820056,7
1870,4318.52880168025,42
