,fid,연면적
0,797,2092.347454545454
1,798,412.21349462365595
2,800,8653.048333333334
3,801,19723.835999999996
4,871,942.5035061674008
5,872,857.4221300341297
6,873,294.9909038112523
7,874,366.6535273159145
8,875,435.4255550239235
9,876,400.29429378531074
10,877,10508.016363636363
11,945,332.8775
12,946,2964.014730120482
13,947,2806.971268041237
14,948,865.3631629893238
15,949,562.6415060686016
16,950,273.3418980582524
17,951,387.4281833910035
18,952,302.0915869017632
19,953,498.21835622317593
20,954,12299.746470588236
21,955,18172.030000000002
22,1021,255.10000000000002
23,1022,991.346103125
24,1023,3879.9613095238096
25,1024,1212.4087766423359
26,1025,535.6375
27,1026,1652.0473076923079
28,1027,1257.57
29,1028,416.0295633187773
30,1029,2548.6882258064516
31,1030,8927.272857142858
32,1031,1821.7046666666668
33,1045,941.8026923076923
34,1098,2871.6966666666667
35,1099,6283.085
36,1100,2598.6771718446603
37,1101,2060.7346376811593
38,1104,1137.31
39,1105,14552.384285714284
40,1106,4610.634137931034
41,1107,1311.0333988764046
42,1121,2762.757450980392
43,1122,721.9965909090909
44,1126,305.15193548387094
45,1174,797.8583333333332
46,1175,1716.4555555555555
47,1176,1733.1105882352942
48,1177,8894.28
49,1180,8781.41
50,1181,3451.493571428571
51,1182,3063.903796296296
52,1183,321.16857142857145
53,1184,1393.9109025210082
54,1185,969.4779591836735
55,1186,254.37070809248556
56,1197,1657.2789583333333
57,1198,1657.4041379310345
58,1251,668.3466666666667
59,1252,43.27333333333333
60,1257,3660.1842280701753
61,1258,870.7526153846154
62,1259,6736.103347826087
63,1260,4020.08524631579
64,1261,723.7205257641921
65,1262,500.0043548387096
66,1263,482.8873211488251
67,1264,380.85017857142856
68,1265,1247.746875
69,1266,715.1690395480226
70,1268,753.45
71,1269,2873.67
72,1273,730.5856544502617
73,1274,931.3990775862069
74,1275,1011.150043283582
75,1327,243.0
76,1332,3370.645
77,1333,968.090041493776
78,1334,1065.6837193133047
79,1335,1651.2427865612647
80,1336,577.5920263279446
81,1337,466.6043431924883
82,1338,364.88850943396227
83,1339,517.1198352402746
84,1340,753.1541871921181
85,1341,446.8321153846154
86,1342,657.8540566037735
87,1343,2663.509090909091
88,1344,7519.206666666667
89,1349,738.342
90,1350,1938.3848
91,1351,1107.98753125
92,1404,840.3294558823529
93,1405,895.9888888888888
94,1407,7694.302500000002
95,1408,3140.045294117647
96,1409,1276.9550548223351
97,1410,1989.4123636363636
98,1411,3404.6497777777777
99,1412,516.0318811881189
100,1413,516.9943137254902
101,1414,499.7854756380511
102,1415,528.6101225490196
103,1416,405.8566693548387
104,1417,848.443806451613
105,1418,929.3041047120419
106,1419,963.5317709251101
107,1420,1083.7672
108,1421,4066.87350877193
109,1425,389.79007633587787
110,1426,1544.8306743055555
111,1427,1137.3062721088436
112,1428,552.7154054054055
113,1480,1389.112260115607
114,1481,2381.762769230769
115,1482,6064.59085106383
116,1483,6366.888274509804
117,1484,2154.98079527027
118,1485,1412.3010590909091
119,1486,2539.228115942029
120,1487,366.6105940594059
121,1488,640.4821791907515
122,1489,497.22847353760443
123,1490,509.15331147540985
124,1491,645.2974170616114
125,1492,762.0861694915254
126,1493,1017.4308450704225
127,1494,1168.8768153153153
128,1495,333.307287522604
129,1496,3150.248638961039
130,1497,7782.478638888888
131,1498,842.1371428571429
132,1499,551.441220338983
133,1500,735.0843252595156
134,1501,883.8855458515284
135,1502,909.6717120622568
136,1504,116.1475
137,1557,3904.6984482758617
138,1558,6330.016511627908
139,1559,8048.255249999999
140,1560,2754.9801944444444
141,1561,6201.825517647059
142,1562,713.816440677966
143,1563,696.020575562701
144,1564,575.2391691394658
145,1565,515.2393427230047
146,1566,580.2242613636364
147,1567,571.2792140306123
148,1568,1091.6306558912386
149,1569,594.1334814935066
150,1570,1246.3384027149323
151,1571,270.52792291220555
152,1572,605.7985714285714
153,1573,4084.111304347826
154,1574,823.6641525423728
155,1575,323.81771428571426
156,1576,338.8789523809524
157,1577,1485.8750454545454
158,1578,400.71985915492957
159,1633,6433.7240740740735
160,1634,7959.16731707317
161,1635,4579.103094339623
162,1636,4617.823733333334
163,1637,1070.6129616724738
164,1638,690.5299817629179
165,1639,454.9347310513447
166,1640,410.7505361930295
167,1641,435.73928988764044
168,1642,471.61376890756304
169,1643,481.25093347639483
170,1644,648.6580519480519
171,1645,855.9699519230769
172,1646,388.8308133086876
173,1647,281.4283016393442
174,1648,7104.876363636364
175,1649,4101.987380952381
176,1650,310.28766062176163
177,1651,278.17441438356167
178,1652,461.32816216216213
179,1653,934.3819364161849
180,1710,7745.026279069768
181,1711,6758.9097884615385
182,1712,4455.354354838709
183,1713,1654.555994923858
184,1714,533.0733884297521
185,1715,435.06850515463924
186,1716,467.34888888888895
187,1717,361.2672159090909
188,1718,579.0328391608391
189,1719,425.54853982300887
190,1720,489.7395744985673
191,1721,410.865008097166
192,1722,385.3519389978214
193,1723,327.574836400818
194,1724,1036.3376397515528
195,1725,6396.243214285714
196,1726,1139.8878067226892
197,1727,577.5382258064516
198,1728,245.8701056338028
199,1729,1442.8818518518517
200,1730,799.0124105571848
201,1731,393.1005378486056
202,1732,480.00540712468194
203,1786,8652.253421052632
204,1787,5576.845691176471
205,1788,2089.6930925925926
206,1789,1394.051
207,1790,614.8070007246376
208,1791,730.0700120967742
209,1793,856.6775540540541
210,1794,408.99682989690723
211,1795,457.1520852017937
212,1796,576.9385760517799
213,1797,600.1420480549199
214,1798,608.048016194332
215,1799,4692.923181818182
216,1800,4900.008
217,1801,3986.40619047619
218,1802,1331.4469375
219,1803,788.6197557003256
220,1804,1375.3894903846156
221,1805,2310.650925925926
222,1806,1763.0655870646767
223,1863,8140.274615384616
224,1864,7793.3688
225,1865,1196.9499004504505
226,1866,694.9599809160305
227,1867,599.9381727574752
228,1868,1611.4379583783784
229,1869,5258.15
230,1870,420.60412866817154
231,1871,458.4088588516746
232,1872,501.6623184357542
233,1873,690.2635356200528
234,1874,899.5298555956679
235,1875,5069.873255813954
236,1876,8376.687674418605
237,1877,6395.545806451613
238,1878,3849.3267241379313
239,1879,2456.475229357798
240,1880,4675.952857142857
241,1881,5968.21980952381
242,1882,4127.3599253731345
243,1935,754.93
244,1940,5399.694052325582
245,1941,1480.7900610328638
246,1942,823.1105836298932
247,1943,569.7360067873303
248,1944,649.681669250646
249,1945,687.8486248691099
250,1946,488.61230946882216
251,1947,865.2626859205776
252,1948,2807.419725
253,1949,1269.4691044776118
254,1950,9415.20590909091
255,1951,7219.561612903226
256,1952,8392.278787878788
257,1953,2616.879207920792
258,1954,1939.2437823129253
259,1955,667.6698032258064
260,1956,2567.588
261,1957,7162.915
262,2012,328.57
263,2017,3306.721204819277
264,2018,1700.5909986842105
265,2019,1567.414487562189
266,2020,695.2092071428572
267,2021,584.9303130541872
268,2022,934.2914505119454
269,2023,2121.2652727272725
270,2024,13975.040157894735
271,2025,8400.885013888888
272,2026,13539.612529411765
273,2027,2591.6647692307693
274,2028,9720.194782608694
275,2029,2420.3902083333332
276,2030,1017.8355384615385
277,2031,779.9770588235294
278,2032,456.3079540229885
279,2033,2486.475
280,2087,205.31571428571428
281,2088,543.66
282,2093,4111.905802197803
283,2094,2219.315890322581
284,2095,550.1236202185793
285,2096,613.2455511811023
286,2097,2465.0389724770644
287,2098,5783.614
288,2099,12916.2135
289,2100,53699.37914999999
290,2101,1781.3690448430493
291,2102,1071.6833253012048
292,2103,1748.371794871795
293,2104,7081.582
294,2105,168.52625
295,2106,2545.96696969697
296,2107,7198.151944444445
297,2108,8457.549722222222
298,2109,10949.230592592594
299,2110,5588.531333333333
300,2164,84.31
301,2165,1209.234
302,2170,2581.579879518072
303,2171,1398.012451612903
304,2172,656.9465217391304
305,2173,5815.58493939394
306,2174,5741.935365853658
307,2175,8736.7112
308,2176,32948.1825
309,2177,13701.197878787878
310,2178,1080.2500938967137
311,2179,2674.2345348837207
312,2180,5862.850476190476
313,2181,230.7023076923077
314,2182,782.7322432950191
315,2183,6005.5766
316,2184,4672.45640625
317,2185,5413.88875
318,2186,8324.67409090909
319,2187,6344.064166666667
320,2189,12595.623375
321,2190,13274.770319148935
322,2236,4984.905744680851
323,2237,4416.807115384616
324,2238,2860.4404999999997
325,2239,1806.8483333333331
326,2240,3123.7883333333334
327,2241,14.4
328,2246,3345.146666666667
329,2247,539.655990990991
330,2248,6819.8509375
331,2249,7638.0039024390235
332,2250,10776.355000000001
333,2251,13605.2275
334,2252,1380.9479999999999
335,2253,3161.9649999999997
336,2254,10587.4
337,2255,9843.7
338,2256,1437.2262972972974
339,2257,1504.2097018181819
340,2258,7422.112561403508
341,2259,5239.230892857143
342,2260,726.7718947368421
343,2261,287.8631465863454
344,2262,277.38001937984495
345,2263,194.2586936936937
346,2264,1237.4084337349398
347,2265,8442.342758620689
348,2266,24609.0359375
349,2267,10285.123902439023
350,2313,21649.90705882353
351,2314,5036.413157894737
352,2315,3627.7727272727275
353,2316,1798.0825
354,2317,407.88
355,2324,1836.4285714285713
356,2325,2267.037777777778
357,2326,9401.692903225807
358,2327,6409.155217391305
359,2329,903.760538116592
360,2330,3158.9770535714283
361,2331,6822.242000000001
362,2332,2898.8973076923075
363,2333,7791.224795918366
364,2334,5614.932538461539
365,2335,1885.2932727272728
366,2336,747.0286736842105
367,2337,270.7814840525328
368,2338,692.9856253602305
369,2339,472.75030659536543
370,2340,267.3139559659091
371,2341,945.6300277008311
372,2342,39330.76565217391
373,2343,13692.574105263158
374,2344,6512.506091954024
375,2345,16655.137333333332
376,2388,1853.707614678899
377,2389,44826.93736842106
378,2390,23682.409142857145
379,2391,13907.525277777779
380,2392,3047.52
381,2399,2236.3184615384616
382,2400,811.1326771653544
383,2401,4308.789583333333
384,2402,5553.691111111111
385,2403,10414.02
386,2404,4486.322272727272
387,2405,643.8774871794872
388,2406,4173.394444444445
389,2407,2089.0128
390,2408,852.9484260869566
391,2409,28646.415454545455
392,2410,12088.188983050848
393,2411,1416.837677027027
394,2412,783.3633862433862
395,2413,1308.639729468599
396,2414,374.7753913043478
397,2415,983.9591759259259
398,2416,379.88016187050357
399,2417,1027.1192332361516
400,2418,3847.8913500000003
401,2419,1237.4074470046085
402,2420,1921.6405298013244
403,2421,4448.767516470588
404,2422,5694.191789655172
405,2423,3443.501
406,2465,239.3761333333333
407,2466,67306.01923076923
408,2467,4476.491744966443
409,2469,153.98
410,2470,436.08
411,2471,2624.5375
412,2477,2426.6918211382113
413,2478,2215.796624675325
414,2479,4694.346132075471
415,2480,2778.445441176471
416,2481,1814.9207465608467
417,2482,1248.0582078853047
418,2483,5279.6030158730155
419,2484,603.5271518987341
420,2485,444.79949074074074
421,2486,23040.171578947367
422,2487,1694.4957228915662
423,2488,1635.6798473282443
424,2489,4108.0682705882355
425,2490,659.3912235880398
426,2491,1533.2718
427,2492,10745.69
428,2493,5805.233825757576
429,2494,694.1921657894736
430,2495,1258.1371702127658
431,2496,1168.2365714285713
432,2497,2649.575568181818
433,2498,691.6015384615384
434,2499,4876.625214285714
435,2500,11470.865
436,2501,431.1172
437,2540,261.9284307692308
438,2541,373.766432748538
439,2542,606.7321212121212
440,2543,577.422756097561
441,2546,2986.026428571429
442,2547,737.4538157894737
443,2548,1008.5176666666666
444,2553,647.7061966666666
445,2554,2826.8053020134225
446,2555,3661.6885714285713
447,2556,1136.7603440860214
448,2557,652.233192488263
449,2558,1134.2297787610619
450,2559,11831.195
451,2560,1749.7113989637305
452,2561,727.8001057401813
453,2562,1735.7905519480519
454,2563,692.5995402298851
455,2564,681.4128395061729
456,2565,521.9181295843521
457,2566,413.16943227091633
458,2567,1248.8957888446214
459,2568,31405.1036875
460,2569,3158.4243833333335
461,2570,951.0577486910995
462,2571,745.4124714828898
463,2572,3877.13405982906
464,2573,2017.5314285714287
465,2574,396.3301754385965
466,2575,1417.4095238095238
467,2576,2220.5896739130435
468,2577,1736.9977049180327
469,2617,344.6919662921348
470,2618,879.1954852320675
471,2619,23815.000999999997
472,2620,3068.0872340425535
473,2621,8543.204520000001
474,2622,7758.594833333333
475,2623,971.9273806451613
476,2624,950.4461047904192
477,2625,586.5667910447761
478,2630,1385.6695495495496
479,2631,4615.562777777778
480,2632,2556.8754207650272
481,2633,4657.731384615385
482,2634,369.863367768595
483,2635,3305.3281818181817
484,2636,3643.637363636364
485,2637,3923.102823529412
486,2638,314.315922787194
487,2639,1056.318407035176
488,2640,462.5687159624413
489,2641,505.38294929577467
490,2642,383.97970649895177
491,2643,247.03461432506887
492,2644,1809.5660920245398
493,2645,1719.2539870689654
494,2646,900.4981124497992
495,2647,500.74201508620683
496,2648,454.7942256637168
497,2649,408.6912595419847
498,2650,348.05863636363637
499,2651,333.7425781512605
500,2652,363.2418089053803
501,2653,806.9268847352025
502,2654,1351.600520467836
503,2655,1355.4251851851852
504,2656,2264.985769230769
505,2657,1160.657755102041
506,2691,1069.6002126984126
507,2692,253.76532544378696
508,2693,777.728778280543
509,2694,427.5176470588235
510,2695,796.7238295964125
511,2696,3367.3357797979797
