fid,횡단보도개수
2881,18
2909,0
2910,10
2911,36
2912,9
2913,17
2914,10
2915,11
2916,13
2917,15
2918,13
2919,20
2920,11
2921,4
2922,12
2923,15
2924,12
2925,15
2926,11
2927,10
2928,23
2929,17
2930,5
2931,15
2932,7
2935,8
2936,12
2937,13
2938,11
2939,9
2940,8
2941,16
2942,18
2943,26
2944,32
2945,18
2946,11
2947,3
2948,3
2949,9
2950,13
2951,21
2952,2
2954,1
2955,11
2957,5
2958,7
2981,26
2985,17
2986,14
2987,28
2988,5
2989,9
2990,15
2991,15
2992,22
2993,26
2994,20
2995,19
2996,18
2997,10
2998,25
2999,25
3000,8
3001,13
3002,13
3003,3
3004,24
3005,11
3006,9
3007,14
3011,13
3012,12
3013,10
3014,20
3015,0
3016,16
3017,12
3018,14
3019,26
3020,37
3021,0
3022,1
3023,5
3024,6
3025,1
3026,1
3027,8
3028,21
3029,17
3030,17
3031,14
3033,3
3062,0
3063,9
3064,13
3065,6
3066,2
3067,18
3068,18
3069,7
3070,14
3071,29
3072,26
3073,14
3074,4
3075,7
3076,6
3078,10
3079,7
3080,21
3081,15
3082,12
3083,27
3088,26
3089,19
3090,17
3091,16
3092,0
3093,27
3094,13
3095,34
3096,14
3097,17
3098,13
3099,15
3100,9
3101,7
3102,0
3103,0
3104,0
3105,3
3106,4
3107,4
3108,0
3134,2
3137,20
3138,17
3139,3
3140,10
3141,22
3142,6
3143,20
3144,18
3149,9
3150,26
3151,11
3152,2
3153,3
3154,21
3155,7
3156,18
3157,9
3158,6
3159,19
3164,14
3165,27
3166,39
3167,15
3168,13
3169,14
3170,4
3171,9
3172,30
3173,13
3174,11
3175,15
3176,20
3177,22
3178,5
3179,0
3180,0
3181,13
3182,1
3183,9
3212,7
3215,12
3216,4
3217,20
3218,22
3219,3
3220,17
3221,8
3223,0
3224,0
3226,12
3227,14
3228,0
3229,17
3230,10
3231,10
3232,5
3233,13
3234,22
3235,25
3236,18
3241,13
3242,14
3243,33
3244,0
3245,17
3246,9
3247,1
3248,12
3249,1
3250,0
3251,0
3252,8
3253,3
3254,12
3255,1
3256,9
3257,7
3258,9
3259,5
3286,8
