fid,ID,Area
1790,생활서비스시설_공원_1414,64881.205
1791,생활서비스시설_공원_1414,68521.407
1793,생활서비스시설_공원_1414,51272.570
1794,생활서비스시설_공원_1414,1548.508
1795,생활서비스시설_공원_1414,1942.995
1796,생활서비스시설_공원_1414,2048.265
1797,생활서비스시설_공원_1414,1947.543
1798,생활서비스시설_공원_1414,851.470
1799,생활서비스시설_공원_1414,4803.189
1800,생활서비스시설_공원_1414,19769.608
1801,생활서비스시설_공원_1414,70410.927
1802,생활서비스시설_공원_1414,5127.892
1803,생활서비스시설_공원_1414,151.462
1804,생활서비스시설_공원_1414,57.180
1863,생활서비스시설_공원_1414,7842.301
1864,생활서비스시설_공원_1414,2734.553
1865,생활서비스시설_공원_1414,993.050
1866,생활서비스시설_공원_1414,785.580
1867,생활서비스시설_공원_1414,829.689
1868,생활서비스시설_공원_1414,12173.172
1869,생활서비스시설_공원_1414,109450.777
1870,생활서비스시설_공원_1414,15787.027
1871,생활서비스시설_공원_1414,970.877
1872,생활서비스시설_공원_1414,1042.042
1873,생활서비스시설_공원_1414,1690.900
1874,생활서비스시설_공원_1414,1074.599
1875,생활서비스시설_공원_1414,3521.814
1877,생활서비스시설_공원_1414,3367.027
1878,생활서비스시설_공원_1414,398.949
1935,생활서비스시설_공원_1414,46682.742
1940,생활서비스시설_공원_1414,1617.137
1941,생활서비스시설_공원_1414,1004.270
1942,생활서비스시설_공원_1414,978.293
1943,생활서비스시설_공원_1414,1283.412
1944,생활서비스시설_공원_1414,1008.426
1945,생활서비스시설_공원_1414,1359.987
1946,생활서비스시설_공원_1414,794.860
1947,생활서비스시설_공원_1414,1334.427
1948,생활서비스시설_공원_1414,1508.611
1950,생활서비스시설_공원_1414,1779.221
1951,생활서비스시설_공원_1414,6586.832
1952,생활서비스시설_공원_1414,2239.909
1953,생활서비스시설_공원_1414,623.589
1954,생활서비스시설_공원_1414,22245.547
1956,생활서비스시설_공원_1414,39.304
2012,생활서비스시설_공원_1414,132623.739
2017,생활서비스시설_공원_1414,7015.595
2018,생활서비스시설_공원_1414,938.431
2022,생활서비스시설_공원_1414,1926.094
2023,생활서비스시설_공원_1414,6679.542
2024,생활서비스시설_공원_1414,863.799
2026,생활서비스시설_공원_1414,3670.258
2027,생활서비스시설_공원_1414,27186.193
2028,생활서비스시설_공원_1414,4597.277
2029,생활서비스시설_공원_1414,14222.362
2030,생활서비스시설_공원_1414,82422.778
2031,생활서비스시설_공원_1414,23120.569
2032,생활서비스시설_공원_1414,12.409
2087,생활서비스시설_공원_1414,138564.065
2088,생활서비스시설_공원_1414,134672.055
2094,생활서비스시설_공원_1414,1734.418
2096,생활서비스시설_공원_1414,44474.472
2097,생활서비스시설_공원_1414,26577.311
2098,생활서비스시설_공원_1414,3007.987
2100,생활서비스시설_공원_1414,21395.034
2102,생활서비스시설_공원_1414,1029.402
2103,생활서비스시설_공원_1414,2507.835
2104,생활서비스시설_공원_1414,19184.032
2105,생활서비스시설_공원_1414,18341.996
2106,생활서비스시설_공원_1414,650.064
2108,생활서비스시설_공원_1414,3754.150
2109,생활서비스시설_공원_1414,10.272
2110,생활서비스시설_공원_1414,1604.253
2163,생활서비스시설_공원_1414,138495.023
2164,생활서비스시설_공원_1414,137804.409
2165,생활서비스시설_공원_1414,136770.423
2170,생활서비스시설_공원_1414,98.916
2171,생활서비스시설_공원_1414,3763.320
2172,생활서비스시설_공원_1414,86492.122
2173,생활서비스시설_공원_1414,20189.233
2174,생활서비스시설_공원_1414,13407.835
2175,생활서비스시설_공원_1414,22239.770
2177,생활서비스시설_공원_1414,3555.759
2178,생활서비스시설_공원_1414,188.957
2180,생활서비스시설_공원_1414,456.646
2184,생활서비스시설_공원_1414,592.558
2185,생활서비스시설_공원_1414,11.149
2186,생활서비스시설_공원_1414,20.311
2190,생활서비스시설_공원_1414,12991.977
2237,생활서비스시설_공원_1414,6681.211
2238,생활서비스시설_공원_1414,34300.292
2239,생활서비스시설_공원_1414,137644.341
2240,생활서비스시설_공원_1414,136884.674
2241,생활서비스시설_공원_1414,136132.189
2246,생활서비스시설_공원_1414,10647.177
2247,생활서비스시설_공원_1414,27087.247
2248,생활서비스시설_공원_1414,29151.514
2249,생활서비스시설_공원_1414,1366.790
2250,생활서비스시설_공원_1414,3940.105
2260,생활서비스시설_공원_1414,4526.820
2261,생활서비스시설_공원_1414,419.902
2262,생활서비스시설_공원_1414,77.952
2263,생활서비스시설_공원_1414,269.907
2267,생활서비스시설_공원_1414,9605.354
2314,생활서비스시설_공원_1414,40875.804
2315,생활서비스시설_공원_1414,96385.918
2316,생활서비스시설_공원_1414,133964.748
2317,생활서비스시설_공원_1414,138564.065
2318,생활서비스시설_공원_1414,137440.507
2323,생활서비스시설_공원_1414,1766.815
2325,생활서비스시설_공원_1414,2067.979
2326,생활서비스시설_공원_1414,13444.630
2327,생활서비스시설_공원_1414,661.492
2336,생활서비스시설_공원_1414,2997.259
2340,생활서비스시설_공원_1414,733.714
2341,생활서비스시설_공원_1414,1628.445
2345,생활서비스시설_공원_1414,9708.995
2388,생활서비스시설_공원_1414,2083.965
2390,생활서비스시설_공원_1414,13160.643
2391,생활서비스시설_공원_1414,21535.517
2392,생활서비스시설_공원_1414,93001.434
2393,생활서비스시설_공원_1414,138564.065
2394,생활서비스시설_공원_1414,137982.684
2399,생활서비스시설_공원_1414,5716.513
2405,생활서비스시설_공원_1414,1457.712
2406,생활서비스시설_공원_1414,3189.313
2409,생활서비스시설_공원_1414,2554.581
2411,생활서비스시설_공원_1414,60.806
2412,생활서비스시설_공원_1414,1634.170
2413,생활서비스시설_공원_1414,6353.943
2414,생활서비스시설_공원_1414,628.333
2415,생활서비스시설_공원_1414,804.879
2416,생활서비스시설_공원_1414,523.958
2417,생활서비스시설_공원_1414,354.875
2419,생활서비스시설_공원_1414,638.857
2420,생활서비스시설_공원_1414,1.549
2421,생활서비스시설_공원_1414,270.657
2422,생활서비스시설_공원_1414,11160.900
2423,생활서비스시설_공원_1414,9728.155
2465,생활서비스시설_공원_1414,372.068
2469,생활서비스시설_공원_1414,31067.240
2470,생활서비스시설_공원_1414,137391.770
2471,생활서비스시설_공원_1414,138564.065
