fid,id,left,top,right,bottom,row_index,col_index,18도 미만 경사 목록_avgDN,2017공시지가_avg_Land_Value,ResidentialArea,LivingfacilityArea,Data(1014최종)_Label,건물총,건물주거,건축근생,ResidentialAread
"1176","940231","1952787.1587","940693.287538058","1952387.1587","35","15",,"0.499044149722368","227362.494610977","1","0",,"11","11","0",1.000
"1177","940231","1952387.1587","940693.287538058","1951987.1587","36","15",,"0.847902138263626","125589.184612642","0.666666666666667","0.333333333333333",,"3","2","1",0.667
"1179","940231","1951587.1587","940693.287538058","1951187.1587","38","15",,"0.382354511059692","63006.7915169588",,,,"0","0","0",
"1180","940231","1951187.1587","940693.287538058","1950787.1587","39","15",,"0.279377179939278","519395.149847175","1","0",A,"4","4","0",1.000
"1181","940231","1950787.1587","940693.287538058","1950387.1587","40","15",,"1.01171323018823","2475201.45008231","0.772727272727273","0.106060606060606",B,"66","51","7",0.773
"1182","940231","1950387.1587","940693.287538058","1949987.1587","41","15",,"7.52019848502864","1533112.07333346","0.619047619047619","0.0952380952380952",B,"21","13","2",0.619
"1183","940231","1949987.1587","940693.287538058","1949587.1587","42","15",,"8.14514112906092","1017317.55857434","0.666666666666667","0.277777777777778",B,"18","12","5",0.667
"1184","940231","1949587.1587","940693.287538058","1949187.1587","43","15",,"3.12488684480677","1331412.90697415","0.889908256880734","0.0917431192660551",B,"109","97","10",0.890
"1185","940231","1949187.1587","940693.287538058","1948787.1587","44","15",,"2.71263962966","2066487.49014914","0.5546875","0.3359375",B,"127","71","43",0.559
"1186","940231","1948787.1587","940693.287538058","1948387.1587","45","15",,"2.93814192794238","1924071.00824964","0.881278538812785","0.101978691019787",B,"656","579","66",0.883
"1197","940231","1944387.1587","940693.287538058","1943987.1587","56","15",,"4.85749536314237","1925167.05446516","0.767441860465116","0.0697674418604651",B,"43","33","3",0.767
"1198","940231","1943987.1587","940693.287538058","1943587.1587","57","15",,"2.85530135473031","1862006.41039","0.36","0.44",B,"25","9","11",0.360
"1251","940578","1953387.1587","941039.697699572","1952987.1587","34","16",,"0","247045.571074555","0","1",B,"1","0","1",0.000
"1252","940578","1952987.1587","941039.697699572","1952587.1587","35","16",,"0.81867124122397","89403.2062969188","0","0",A,"3","0","0",0.000
"1257","940578","1950987.1587","941039.697699572","1950587.1587","40","16",,"0.88351726725356","1870542.87937272","0.854166666666667","0.104166666666667",B,"48","41","5",0.854
"1258","940578","1950587.1587","941039.697699572","1950187.1587","41","16",,"5.68238012831407","1568829.83849046","0.845528455284553","0.040650406504065",B,"123","104","5",0.846
"1259","940578","1950187.1587","941039.697699572","1949787.1587","42","16",,"9.94127600732734","1398489.19463198","0.666666666666667","0",B,"18","12","0",0.667
"1260","940578","1949787.1587","941039.697699572","1949387.1587","43","16",,"5.57049511650896","2557599.47878731","0.855421686746988","0.036144578313253",B,"83","71","3",0.855
"1261","940578","1949387.1587","941039.697699572","1948987.1587","44","16",,"1.82002254696726","2192895.40071958","0.732323232323232","0.141414141414141",B,"198","145","28",0.732
"1262","940578","1948987.1587","941039.697699572","1948587.1587","45","16",,"0.872989625802482","1995999.99900912","0.782334384858044","0.192429022082019",B,"315","246","61",0.781
"1263","940578","1948587.1587","941039.697699572","1948187.1587","46","16",,"2.91769788701328","1965312.35066929","0.84149855907781","0.118155619596542",B,"344","290","41",0.843
"1264","940578","1948187.1587","941039.697699572","1947787.1587","47","16",,"6.92978966744956","1041658.49190293","0.82051282051282","0.108974358974359",B,"156","128","17",0.821
"1265","940578","1947787.1587","941039.697699572","1947387.1587","48","16",,"6.7628709783736","474988.64095476","0.727272727272727","0.0909090909090909",B,"11","8","1",0.727
"1266","940578","1947387.1587","941039.697699572","1946987.1587","49","16",,"8.00657352161203","1420250.30323925","0.891566265060241","0.072289156626506",B,"166","148","12",0.892
"1268","940578","1946587.1587","941039.697699572","1946187.1587","51","16",,"3.4120178724983","1622974.19421434","0","1",B,"1","0","1",0.000
"1269","940578","1946187.1587","941039.697699572","1945787.1587","52","16",,"7.83681225682035","1968583.53070762","0","0",B,"1","0","0",0.000
"1273","940578","1944587.1587","941039.697699572","1944187.1587","56","16",,"4.4648787744705","1796619.42629209","0.801104972375691","0.160220994475138",B,"179","143","29",0.799
"1274","940578","1944187.1587","941039.697699572","1943787.1587","57","16",,"2.64110834270216","2101923.08689026","0.811881188118812","0.128712871287129",B,"101","82","13",0.812
"1275","940578","1943787.1587","941039.697699572","1943387.1587","58","16",,"9.0895841468397","1455069.43977488","0.896551724137931","0.0689655172413793",B,"55","49","4",0.891
"1327","940924","1953187.1587","941386.107861086","1952787.1587","34","17",,"0.802656978940802","40626.5521851297","0","1",B,"2","0","2",0.000
"1332","940924","1951187.1587","941386.107861086","1950787.1587","39","17",,"1.64048890729994","110317.892710388","0","0",A,"1","0","0",0.000
"1333","940924","1950787.1587","941386.107861086","1950387.1587","40","17",,"1.55992476694087","2059056.13361963","0.84","0.111111111111111",B,"225","189","25",0.840
"1334","940924","1950387.1587","941386.107861086","1949987.1587","41","17",,"2.61156976398573","2481592.9750875","0.751196172248804","0.186602870813397",B,"209","157","39",0.751
"1335","940924","1949987.1587","941386.107861086","1949587.1587","42","17",,"2.18076674513794","2570803.89705701","0.872881355932203","0.105932203389831",B,"236","206","25",0.873
"1336","940924","1949587.1587","941386.107861086","1949187.1587","43","17",,"1.78302722397832","2203816.5958137","0.881773399014778","0.0985221674876847",B,"406","358","40",0.882
"1337","940924","1949187.1587","941386.107861086","1948787.1587","44","17",,"0.510126038162391","2048969.8750225","0.80352644836272","0.171284634760705",B,"397","319","68",0.804
"1338","940924","1948787.1587","941386.107861086","1948387.1587","45","17",,"0","1898479.14022599","0.85513078470825","0.126760563380282",B,"497","425","63",0.855
"1339","940924","1948387.1587","941386.107861086","1947987.1587","46","17",,"1.05208247632907","1915952.58372055","0.815980629539952","0.169491525423729",B,"413","337","70",0.816
"1340","940924","1947987.1587","941386.107861086","1947587.1587","47","17",,"2.43135338708716","1399345.17061781","0.813829787234043","0.143617021276596",B,"188","153","27",0.814
"1341","940924","1947587.1587","941386.107861086","1947187.1587","48","17",,"1.46981917776813","1407113.70660353","0.850622406639004","0.141078838174274",B,"241","205","34",0.851
"1342","940924","1947187.1587","941386.107861086","1946787.1587","49","17",,"3.56107137291902","1861938.19084266","0.636363636363636","0.323232323232323",B,"197","126","63",0.640
"1343","940924","1946787.1587","941386.107861086","1946387.1587","50","17",,"4.26348771192366","2032606.95120503","0.738095238095238","0.0476190476190476",B,"42","31","2",0.738
"1344","940924","1946387.1587","941386.107861086","1945987.1587","51","17",,"4.41108241674292","1876206.24099627","0.714285714285714","0.0714285714285714",B,"14","10","1",0.714
"1349","940924","1944387.1587","941386.107861086","1943987.1587","56","17",,"6.54998662208893","1886890.3296956","0.812182741116751","0.16751269035533",B,"193","157","32",0.813
"1350","940924","1943987.1587","941386.107861086","1943587.1587","57","17",,"2.38877801845092","2613737.15186848","0.227272727272727","0.5",B,"16","4","8",0.250
"1351","940924","1943587.1587","941386.107861086","1943187.1587","58","17",,"7.31660182092315","1532559.01532356","0.873563218390805","0.126436781609195",B,"87","76","11",0.874
"1404","941271","1952987.1587","941732.5180226","1952587.1587","35","18",,"5.35666117984657","759625.898728756","0.467741935483871","0.161290322580645",B,"60","27","10",0.450
"1405","941271","1952587.1587","941732.5180226","1952187.1587","36","18",,"0.94514168136925","322655.501352068","0","0.166666666666667",A,"6","0","1",0.000
"1407","941271","1951787.1587","941732.5180226","1951387.1587","38","18",,"0.281974735586216","488816.273431472","0","0.142857142857143",A,"7","0","1",0.000
"1408","941271","1951387.1587","941732.5180226","1950987.1587","39","18",,"1.03199356173627","2569358.25735043","0.159090909090909","0.704545454545455",B,"44","7","31",0.159
"1409","941271","1950987.1587","941732.5180226","1950587.1587","40","18",,"0.906523718327572","2534319.07161764","0.722826086956522","0.21195652173913",B,"184","133","39",0.723
"1410","941271","1950587.1587","941732.5180226","1950187.1587","41","18",,"4.39048879649943","2995776.62546281","0.75","0.138157894736842",B,"152","114","21",0.750
"1411","941271","1950187.1587","941732.5180226","1949787.1587","42","18",,"2.01792276681888","3334932.34242836","0.416666666666667","0.527777777777778",C,"36","15","19",0.417
"1412","941271","1949787.1587","941732.5180226","1949387.1587","43","18",,"1.57960187190481","2752751.56841089","0.808510638297872","0.146276595744681",B,"376","304","55",0.809
"1413","941271","1949387.1587","941732.5180226","1948987.1587","44","18",,"0.906801218627643","2730284.8776511","0.767379679144385","0.195187165775401",B,"374","287","73",0.767
"1414","941271","1948987.1587","941732.5180226","1948587.1587","45","18",,"0.808766290226591","2115447.80927951","0.759305210918114","0.218362282878412",A,"403","306","88",0.759
"1415","941271","1948587.1587","941732.5180226","1948187.1587","46","18",,"0.468063000316857","2439385.51145413","0.701333333333333","0.277333333333333",B,"375","263","104",0.701
"1416","941271","1948187.1587","941732.5180226","1947787.1587","47","18",,"0.695896652570059","2115032.50332463","0.735807860262009","0.187772925764192",B,"457","337","85",0.737
"1417","941271","1947787.1587","941732.5180226","1947387.1587","48","18",,"0.858832753091516","1884680.57625165","0.764397905759162","0.198952879581152",B,"191","146","38",0.764
"1418","941271","1947387.1587","941732.5180226","1946987.1587","49","18",,"2.83761353462046","1842472.21872463","0.741573033707865","0.196629213483146",B,"178","132","35",0.742
"1419","941271","1946987.1587","941732.5180226","1946587.1587","50","18",,"3.13808497889457","2212243.92296526","0.781990521327014","0.175355450236967",B,"210","164","37",0.781
"1420","941271","1946587.1587","941732.5180226","1946187.1587","51","18",,"5.52937022142055","1470026.96815308","0.7","0.175",B,"120","84","21",0.700
"1421","941271","1946187.1587","941732.5180226","1945787.1587","52","18",,"1.67636071339701","2497970.15157872","0.568627450980392","0.372549019607843",B,"50","28","19",0.560
"1425","941271","1944587.1587","941732.5180226","1944187.1587","56","18",,"8.47011131504131","1490578.03006096","0.934065934065934","0.0384615384615385",B,"362","338","14",0.934
"1426","941271","1944187.1587","941732.5180226","1943787.1587","57","18",,"3.3128024871076","2235810.2123239","0.804511278195489","0.135338345864662",B,"133","107","18",0.805
"1427","941271","1943787.1587","941732.5180226","1943387.1587","58","18",,"1.750401797857","2360481.36144884","0.759124087591241","0.18978102189781",B,"136","104","25",0.765
"1428","941271","1943387.1587","941732.5180226","1942987.1587","59","18",,"7.70324395892652","308297.729660869","0.6875","0.25",,"32","22","8",0.688
"1429","941271","1942987.1587","941732.5180226","1942587.1587","60","18",,"6.0753601872276","7841.89390017973",,,,"0","0","0",
"1480","941617","1952787.1587","942078.928184113","1952387.1587","35","19",,"1.27004911626625","2900196.42079828","0.540880503144654","0.245283018867925",B,"157","85","39",0.541
"1481","941617","1952387.1587","942078.928184113","1951987.1587","36","19",,"0.0783083911402281","2582928.13776704","0.253521126760563","0.52112676056338",A,"70","17","37",0.243
"1482","941617","1951987.1587","942078.928184113","1951587.1587","37","19",,"0","3196195.70005981","0.555555555555556","0.155555555555556",A,"45","25","7",0.556
"1483","941617","1951587.1587","942078.928184113","1951187.1587","38","19",,"0.0003926414860349","3731846.64734617","0.217391304347826","0.543478260869565",D,"46","10","25",0.217
"1484","941617","1951187.1587","942078.928184113","1950787.1587","39","19",,"1.62091229408716","3414514.67876817","0.781954887218045","0.18796992481203",D,"133","104","25",0.782
