fid,2017공시지가_avg_Land_Value,2017공시지가_avg_Land_Value_2
1336,2203816.5958137,2192895.40071958
1260,2557599.47878731,2192895.40071958
1263,1965312.35066929,1995999.99900912
1338,1898479.14022599,1995999.99900912
1337,2048969.8750225,1995999.99900912
1261,2192895.40071958,1995999.99900912
1264,1041658.49190293,1965312.35066929
1339,1915952.58372055,1965312.35066929
1338,1898479.14022599,1965312.35066929
1262,1995999.99900912,1965312.35066929
1265,474988.64095476,1041658.49190293
1340,1399345.17061781,1041658.49190293
1339,1915952.58372055,1041658.49190293
1263,1965312.35066929,1041658.49190293
1340,1399345.17061781,474988.64095476
1264,1041658.49190293,474988.64095476
1266,1420250.30323925,474988.64095476
1341,1407113.70660353,474988.64095476
1265,474988.64095476,1420250.30323925
1342,1861938.19084266,1420250.30323925
1341,1407113.70660353,1420250.30323925
1269,1968583.53070762,1622974.19421434
1343,2032606.95120503,1622974.19421434
1344,1876206.24099627,1622974.19421434
1268,1622974.19421434,1968583.53070762
1344,1876206.24099627,1968583.53070762
1274,2101923.08689026,1796619.42629209
1349,1886890.3296956,1796619.42629209
1275,1455069.43977488,2101923.08689026
1273,1796619.42629209,2101923.08689026
1349,1886890.3296956,2101923.08689026
1350,2613737.15186848,2101923.08689026
1274,2101923.08689026,1455069.43977488
1350,2613737.15186848,1455069.43977488
1351,1532559.01532356,1455069.43977488
1252,89403.2062969188,40626.5521851297
1251,247045.571074555,40626.5521851297
1333,2059056.13361963,110317.892710388
1257,1870542.87937272,110317.892710388
1334,2481592.9750875,2059056.13361963
1258,1568829.83849046,2059056.13361963
1257,1870542.87937272,2059056.13361963
1332,110317.892710388,2059056.13361963
1335,2570803.89705701,2481592.9750875
1259,1398489.19463198,2481592.9750875
1258,1568829.83849046,2481592.9750875
1333,2059056.13361963,2481592.9750875
1336,2203816.5958137,2570803.89705701
1260,2557599.47878731,2570803.89705701
1259,1398489.19463198,2570803.89705701
1334,2481592.9750875,2570803.89705701
1337,2048969.8750225,2203816.5958137
1261,2192895.40071958,2203816.5958137
1260,2557599.47878731,2203816.5958137
1335,2570803.89705701,2203816.5958137
1338,1898479.14022599,2048969.8750225
1262,1995999.99900912,2048969.8750225
1261,2192895.40071958,2048969.8750225
1336,2203816.5958137,2048969.8750225
1339,1915952.58372055,1898479.14022599
1263,1965312.35066929,1898479.14022599
1262,1995999.99900912,1898479.14022599
1337,2048969.8750225,1898479.14022599
1340,1399345.17061781,1915952.58372055
1264,1041658.49190293,1915952.58372055
1263,1965312.35066929,1915952.58372055
1338,1898479.14022599,1915952.58372055
1265,474988.64095476,1399345.17061781
1264,1041658.49190293,1399345.17061781
1339,1915952.58372055,1399345.17061781
1341,1407113.70660353,1399345.17061781
1265,474988.64095476,1407113.70660353
1340,1399345.17061781,1407113.70660353
1342,1861938.19084266,1407113.70660353
1266,1420250.30323925,1407113.70660353
1343,2032606.95120503,1861938.19084266
1266,1420250.30323925,1861938.19084266
1341,1407113.70660353,1861938.19084266
1268,1622974.19421434,2032606.95120503
1342,1861938.19084266,2032606.95120503
1344,1876206.24099627,2032606.95120503
1269,1968583.53070762,1876206.24099627
1268,1622974.19421434,1876206.24099627
1343,2032606.95120503,1876206.24099627
1274,2101923.08689026,1886890.3296956
1273,1796619.42629209,1886890.3296956
1350,2613737.15186848,1886890.3296956
1275,1455069.43977488,2613737.15186848
1274,2101923.08689026,2613737.15186848
1349,1886890.3296956,2613737.15186848
1351,1532559.01532356,2613737.15186848
1275,1455069.43977488,1532559.01532356
1350,2613737.15186848,1532559.01532356
1405,322655.501352068,759625.898728756
1480,2900196.42079828,759625.898728756
1404,759625.898728756,322655.501352068
1481,2582928.13776704,322655.501352068
1480,2900196.42079828,322655.501352068
1408,2569358.25735043,488816.273431472
1483,3731846.64734617,488816.273431472
1482,3196195.70005981,488816.273431472
1409,2534319.07161764,2569358.25735043
1484,3414514.67876817,2569358.25735043
1483,3731846.64734617,2569358.25735043
1407,488816.273431472,2569358.25735043
1410,2995776.62546281,2534319.07161764
1485,925657.583942634,2534319.07161764
1484,3414514.67876817,2534319.07161764
1408,2569358.25735043,2534319.07161764
1411,3334932.34242836,2995776.62546281
1486,1567053.11055278,2995776.62546281
1485,925657.583942634,2995776.62546281
1409,2534319.07161764,2995776.62546281
1412,2752751.56841089,3334932.34242836
1487,2667299.2975701,3334932.34242836
1486,1567053.11055278,3334932.34242836
1410,2995776.62546281,3334932.34242836
1413,2730284.8776511,2752751.56841089
1488,3478120.13747424,2752751.56841089
1487,2667299.2975701,2752751.56841089
1411,3334932.34242836,2752751.56841089
1414,2115447.80927951,2730284.8776511
1412,2752751.56841089,2730284.8776511
1489,1881874.22453905,2730284.8776511
1488,3478120.13747424,2730284.8776511
1415,2439385.51145413,2115447.80927951
1413,2730284.8776511,2115447.80927951
1490,2009724.44013268,2115447.80927951
1489,1881874.22453905,2115447.80927951
1416,2115032.50332463,2439385.51145413
1414,2115447.80927951,2439385.51145413
1491,2102904.47597983,2439385.51145413
1490,2009724.44013268,2439385.51145413
1417,1884680.57625165,2115032.50332463
1415,2439385.51145413,2115032.50332463
1492,2255445.50658679,2115032.50332463
1491,2102904.47597983,2115032.50332463
1416,2115032.50332463,1884680.57625165
1418,1842472.21872463,1884680.57625165
1493,2275251.97214661,1884680.57625165
1492,2255445.50658679,1884680.57625165
1417,1884680.57625165,1842472.21872463
1419,2212243.92296526,1842472.21872463
1493,2275251.97214661,1842472.21872463
1494,2158906.83306732,1842472.21872463
1418,1842472.21872463,2212243.92296526
1420,1470026.96815308,2212243.92296526
1494,2158906.83306732,2212243.92296526
1495,3241005.87996144,2212243.92296526
1419,2212243.92296526,1470026.96815308
1421,2497970.15157872,1470026.96815308
1495,3241005.87996144,1470026.96815308
1496,1955143.71510267,1470026.96815308
1420,1470026.96815308,2497970.15157872
1496,1955143.71510267,2497970.15157872
1497,2210260.89310595,2497970.15157872
1426,2235810.2123239,1490578.03006096
1500,1960293.21661058,1490578.03006096
1501,2906533.69056027,1490578.03006096
1425,1490578.03006096,2235810.2123239
1427,2360481.36144884,2235810.2123239
1501,2906533.69056027,2235810.2123239
1502,2229111.00656273,2235810.2123239
1426,2235810.2123239,2360481.36144884
1428,308297.729660869,2360481.36144884
1502,2229111.00656273,2360481.36144884
1427,2360481.36144884,308297.729660869
1429,7841.89390017973,308297.729660869
1504,42531.6462533079,308297.729660869
1428,308297.729660869,7841.89390017973
1504,42531.6462533079,7841.89390017973
1404,759625.898728756,2900196.42079828
1481,2582928.13776704,2900196.42079828
1405,322655.501352068,2900196.42079828
1482,3196195.70005981,2582928.13776704
1405,322655.501352068,2582928.13776704
1480,2900196.42079828,2582928.13776704
1483,3731846.64734617,3196195.70005981
1407,488816.273431472,3196195.70005981
1481,2582928.13776704,3196195.70005981
1484,3414514.67876817,3731846.64734617
1408,2569358.25735043,3731846.64734617
1407,488816.273431472,3731846.64734617
1482,3196195.70005981,3731846.64734617
1485,925657.583942634,3414514.67876817
1409,2534319.07161764,3414514.67876817
1408,2569358.25735043,3414514.67876817
1483,3731846.64734617,3414514.67876817
1486,1567053.11055278,925657.583942634
1410,2995776.62546281,925657.583942634
1409,2534319.07161764,925657.583942634
1484,3414514.67876817,925657.583942634
1487,2667299.2975701,1567053.11055278
1411,3334932.34242836,1567053.11055278
1410,2995776.62546281,1567053.11055278
1485,925657.583942634,1567053.11055278
1412,2752751.56841089,2667299.2975701
1488,3478120.13747424,2667299.2975701
1411,3334932.34242836,2667299.2975701
1486,1567053.11055278,2667299.2975701
1413,2730284.8776511,3478120.13747424
1412,2752751.56841089,3478120.13747424
1489,1881874.22453905,3478120.13747424
1487,2667299.2975701,3478120.13747424
1414,2115447.80927951,1881874.22453905
1413,2730284.8776511,1881874.22453905
1490,2009724.44013268,1881874.22453905
1488,3478120.13747424,1881874.22453905
1415,2439385.51145413,2009724.44013268
1414,2115447.80927951,2009724.44013268
1491,2102904.47597983,2009724.44013268
1489,1881874.22453905,2009724.44013268
1416,2115032.50332463,2102904.47597983
1415,2439385.51145413,2102904.47597983
1492,2255445.50658679,2102904.47597983
1490,2009724.44013268,2102904.47597983
1417,1884680.57625165,2255445.50658679
1416,2115032.50332463,2255445.50658679
1493,2275251.97214661,2255445.50658679
1491,2102904.47597983,2255445.50658679
1417,1884680.57625165,2275251.97214661
1418,1842472.21872463,2275251.97214661
1492,2255445.50658679,2275251.97214661
1494,2158906.83306732,2275251.97214661
1418,1842472.21872463,2158906.83306732
1419,2212243.92296526,2158906.83306732
1493,2275251.97214661,2158906.83306732
1495,3241005.87996144,2158906.83306732
1419,2212243.92296526,3241005.87996144
1420,1470026.96815308,3241005.87996144
1494,2158906.83306732,3241005.87996144
1496,1955143.71510267,3241005.87996144
1420,1470026.96815308,1955143.71510267
1421,2497970.15157872,1955143.71510267
1495,3241005.87996144,1955143.71510267
1497,2210260.89310595,1955143.71510267
1421,2497970.15157872,2210260.89310595
1496,1955143.71510267,2210260.89310595
1498,366418.91819004,2210260.89310595
1497,2210260.89310595,366418.91819004
1499,1563282.10457406,366418.91819004
1498,366418.91819004,1563282.10457406
1500,1960293.21661058,1563282.10457406
1425,1490578.03006096,1960293.21661058
1499,1563282.10457406,1960293.21661058
1501,2906533.69056027,1960293.21661058
1425,1490578.03006096,2906533.69056027
1426,2235810.2123239,2906533.69056027
1500,1960293.21661058,2906533.69056027
1502,2229111.00656273,2906533.69056027
1426,2235810.2123239,2229111.00656273
1427,2360481.36144884,2229111.00656273
1501,2906533.69056027,2229111.00656273
1428,308297.729660869,42531.6462533079
1429,7841.89390017973,42531.6462533079
1558,3561110.93456766,3561925.59537261
1633,2956693.74069401,3561925.59537261
