InputID,TargetID,Distance
797,88분기점,2035.20071492713
798,88분기점,2372.38337936155
800,88분기점,3092.11999780334
801,88분기점,3465.26309452567
871,88분기점,1346.95762515725
872,88분기점,1679.32000279818
873,88분기점,2036.21309316131
874,88분기점,2406.74865966992
875,88분기점,2785.48769911844
876,88분기점,3169.49074680739
877,88분기점,3557.05337705514
945,88분기점,491.909364744918
946,88분기점,668.75077871769
947,88분기점,986.259505220437
948,88분기점,1348.48635362161
949,88분기점,1727.52728105413
950,88분기점,2114.35876668332
951,88분기점,2505.37480394979
952,88분기점,2898.88258623615
953,88분기점,3293.98922521108
954,신월나들목,3365.68699020731
955,신월나들목,3036.09041236742
1021,88분기점,293.224859953211
1022,88분기점,671.824010317726
1023,88분기점,1066.27471820967
1024,88분기점,1463.81817177662
1025,88분기점,1862.47499226007
1026,88분기점,2261.65650463901
1027,88분기점,2661.12660061928
1028,88분기점,3060.7722906813
1029,88분기점,3460.5327389839
1030,신월나들목,3016.19863091283
1031,신월나들목,2673.49271294098
1045,오류나들목,2716.05119556533
1098,88분기점,500.214363224067
1099,88분기점,880.735577079226
1100,88분기점,1273.34349646747
1101,88분기점,1669.5328445151
1104,88분기점,2864.70159516229
1105,88분기점,3263.94891359487
1106,신월나들목,3049.14604547186
1107,신월나들목,2680.91132462058
1108,신월나들목,2323.25371659618
1121,오류나들목,2352.67282668428
1122,오류나들목,2408.92274128893
1126,오류나들목,3174.35908792853
1174,88분기점,857.132479139122
1175,88분기점,1191.75125861242
1176,88분기점,1557.59235914639
1177,88분기점,1937.04537152928
1179,88분기점,2713.84048113925
1180,88분기점,3106.71284940127
1181,신월나들목,3133.26630793057
1182,신월나들목,2747.22338745304
1183,신월나들목,2365.87055107314
1184,신월나들목,1991.90339323625
1185,신월나들목,1630.41201270619
1186,신월나들목,1291.91179032376
1197,오류나들목,2030.06328115293
1198,오류나들목,2132.86449607183
1251,88분기점,1240.71202911715
1252,88분기점,1544.36903127161
1257,신월나들목,3264.60611936118
1258,신월나들목,2868.34729442087
1259,신월나들목,2473.33944086314
1260,신월나들목,2080.29528660745
1261,신월나들목,1690.58500840051
1262,신월나들목,1307.19377413888
1263,신월나들목,937.90306375438
1264,신월나들목,606.906275070682
1265,신월나들목,419.851173472432
1266,신월나들목,560.137613645994
1268,신월나들목,1240.01034071975
1269,신월나들목,1621.69801326956
1273,오류나들목,1661.21420887692
1274,오류나들목,1739.96329305178
1275,오류나들목,1901.45763650074
1327,88분기점,1632.26396469123
1332,가양대교분기점,2426.97851691942
1333,신월나들목,3037.73362792453
1334,신월나들목,2637.74560746693
1335,신월나들목,2237.81300553906
1336,신월나들목,1837.97199878525
1337,신월나들목,1438.29897843583
1338,신월나들목,1038.98782326383
1339,신월나들목,640.71546323879
1340,신월나들목,248.527212134819
1341,신월나들목,182.329668094572
1342,신월나들목,570.045000758875
1343,신월나들목,967.929419020711
1344,신월나들목,1367.13286837171
1349,오류나들목,1351.31841663017
1350,오류나들목,1501.33804480635
1351,오류나들목,1732.68572316699
1404,88분기점,2027.17401837504
1405,가양대교분기점,1903.43486168275
1407,가양대교분기점,1905.8201746407
1408,가양대교분기점,2029.04870968462
1409,가양대교분기점,2218.59342634898
1410,가양대교분기점,2459.16752449199
1411,신월나들목,2451.16611271499
1412,신월나들목,2053.8826657109
1413,신월나들목,1657.97518674734
1414,신월나들목,1264.73651730024
1415,신월나들목,877.760912457392
1416,신월나들목,511.467500014103
1417,신월나들목,270.116290800959
1418,신월나들목,452.278277573652
1419,신월나들목,810.171273842998
1420,신월나들목,1195.16876143471
1421,신월나들목,1587.67385390819
1425,오류나들목,972.04889360008
1426,오류나들목,1101.23518473914
1427,오류나들목,1341.93457398541
1428,오류나들목,1645.93057501501
1429,오류나들목,1984.34273823692
1480,가양대교분기점,1628.02076170437
1481,가양대교분기점,1527.99364546694
1482,가양대교분기점,1529.47955709458
1483,가양대교분기점,1632.2012760285
1484,가양대교분기점,1819.08890663779
1485,가양대교분기점,2067.44239336506
1486,가양대교분기점,2357.91895626828
1487,신월나들목,2319.25784587827
1488,신월나들목,1936.30817435526
1489,신월나들목,1562.002214879
1490,신월나들목,1204.42586956763
1491,신월나들목,884.116289884738
1492,신월나들목,657.95952421642
1493,신월나들목,635.915906120506
1494,신월나들목,834.323993700791
1495,신월나들목,1143.69278912209
1496,신월나들목,1496.72945047052
1497,오류나들목,1407.88087992256
1498,오류나들목,1062.62150878454
1499,오류나들목,772.288881732479
1500,오류나들목,619.617228418295
1501,오류나들목,701.178044171116
1502,오류나들목,958.960654264147
1504,오류나들목,1654.14768104557
1557,가양대교분기점,1233.80142122528
1558,가양대교분기점,1169.0568541183
1559,가양대교분기점,1237.47817011394
1560,가양대교분기점,1419.94395207366
1561,가양대교분기점,1679.69037167207
1562,가양대교분기점,1986.63257157747
1563,가양대교분기점,2322.13016782002
1564,신월나들목,2251.64990698256
1565,신월나들목,1897.46503386904
1566,신월나들목,1565.58268638964
1567,신월나들목,1273.55961111192
1568,신월나들목,1055.03002807831
1569,신월나들목,961.48425840039
1570,신월나들목,1027.64047217131
1571,신월나들목,1227.95245949993
1572,신월나들목,1509.94002773358
1573,오류나들목,1490.55359723154
1574,오류나들목,1099.39553912162
1575,오류나들목,718.206782058835
1576,오류나들목,378.419499046496
1577,오류나들목,301.349560807957
1578,오류나들목,598.875365483909
1584,오류나들목,2763.35777454492
1633,가양대교분기점,845.168417201048
1634,가양대교분기점,847.851869683381
1635,가양대교분기점,1021.58034498206
1636,가양대교분기점,1299.47315416
1637,가양대교분기점,1629.06875983658
1638,가양대교분기점,1984.77455619316
1639,가양대교분기점,2354.78778709507
1640,신월나들목,2254.13549624012
1641,신월나들목,1942.08318798923
1642,신월나들목,1668.07580263017
1643,신월나들목,1453.78683379564
1644,신월나들목,1328.43702652136
1645,신월나들목,1317.65822929891
1646,신월나들목,1424.05441802279
1647,신월나들목,1624.76714090787
1648,오류나들목,1667.81347120092
1649,오류나들목,1268.22977826158
1650,오류나들목,869.161566589337
1651,오류나들목,471.918371958528
1652,오류나들목,101.005610265228
1653,오류나들목,343.40556102988
1710,가양대교분기점,476.00755716644
1711,가양대교분기점,625.493124365648
1712,가양대교분기점,936.018550888301
1713,가양대교분기점,1296.63041433738
1714,가양대교분기점,1675.29124629857
1715,가양대교분기점,2062.08188809402
1716,가양대교분기점,2453.15985846514
1717,신월나들목,2326.49006589517
1718,신월나들목,2064.75918298656
1719,신월나들목,1853.14181844541
1720,신월나들목,1710.34159550188
1721,신월나들목,1654.2768225989
1722,신월나들목,1693.58344840136
1723,신월나들목,1822.09979035144
1724,오류나들목,1913.55279170458
1725,오류나들목,1525.90091358089
1726,오류나들목,1146.86229729431
1727,오류나들목,788.950492296009
1728,오류나들목,499.822817642273
1729,오류나들목,444.33437651322
1730,오류나들목,682.109556167009
1731,오류나들목,1026.32552067599
1732,오류나들목,1390.67270160243
1786,가양대교분기점,243.078261194365
1787,가양대교분기점,619.565142036076
1788,가양대교분기점,1014.3301580768
1789,가양대교분기점,1412.12646533708
1790,가양대교분기점,1810.95759717279
1791,가양대교분기점,2210.26343758411
1793,염창분기점,2475.27070163872
1794,신월나들목,2252.7769862294
1795,신월나들목,2099.05282586639
1796,신월나들목,2014.26691321325
1797,신월나들목,2007.17449299003
1798,신월나들목,2078.57102565371
1799,오류나들목,2204.99388373017
1800,오류나들목,1835.36685719382
1801,오류나들목,1481.6799078668
1802,오류나들목,1158.62400023494
1803,오류나들목,899.818967396449
1804,오류나들목,772.767202883293
1805,오류나들목,839.579955200947
1806,오류나들목,1064.35437145343
1863,가양대교분기점,460.240872053476
1864,가양대교분기점,834.692283953228
1865,가양대교분기점,1225.49242853917
1866,가양대교분기점,1620.85875720834
1867,가양대교분기점,2018.10937862618
1868,염창분기점,1854.02423749062
1869,염창분기점,2079.20619484247
1870,염창분기점,2351.38739314382
1871,염창분기점,2656.15863401527
1872,신월나들목,2387.07809864613
1873,신월나들목,2347.2334984937
1874,신월나들목,2375.09964344893
1875,오류나들목,2526.36962026567
1876,오류나들목,2174.62662087367
1877,오류나들목,1842.73952405104
1878,오류나들목,1543.56972567894
1879,오류나들목,1299.90637115707
1880,오류나들목,1147.66553520743
1881,오류나들목,1124.60940720714
1882,오류나들목,1237.97697392744
1935,가양대교분기점,75.8901710473559
1940,가양대교분기점,1153.16644159135
1941,가양대교분기점,1514.93539714191
1942,염창분기점,1307.11124928364
1943,염창분기점,1453.92053485766
1944,염창분기점,1685.0703018984
1945,염창분기점,1971.10903299568
1946,염창분기점,2291.5740473515
1947,목동IC,2201.30558011691
1948,목동IC,2228.69574536901
1949,목동IC,2325.65162774923
1950,목동IC,2484.04077295057
1951,오류나들목,2531.73110260888
1952,오류나들목,2217.2583072269
1953,오류나들목,1934.69302790345
1954,오류나들목,1700.02073799901
1955,오류나들목,1535.36138846378
1956,광명교나들목,1644.80448216698
1957,광명교나들목,1297.60173930691
2012,가양대교분기점,443.287710576614
2017,염창분기점,969.725870126824
2018,염창분기점,930.250227516953
2019,염창분기점,1053.84759678585
2020,염창분기점,1294.62584460498
2021,염창분기점,1600.54660868827
2022,염창분기점,1941.04993866891
2023,목동IC,1870.81795933917
2024,목동IC,1860.42525708693
2025,목동IC,1934.58959168228
2026,목동IC,2084.30422205379
2027,목동IC,2294.82978512006
2028,목동IC,2551.15578630707
2029,오류나들목,2328.88361092951
2030,오류나들목,2100.14676615332
2031,광명교나들목,2121.78969820242
2032,광명교나들목,1728.07165145256
2033,광명교나들목,1338.17171402649
2087,가양대교분기점,697.589630838581
2088,가양대교분기점,841.118598393416
2093,염창분기점,585.168825290274
2094,염창분기점,653.862249498242
2095,염창분기점,912.62332239132
2096,염창분기점,1248.38255988166
2097,염창분기점,1613.77473738431
2098,목동IC,1573.0240763885
2099,목동IC,1508.47960753625
2100,목동IC,1548.1761233735
2101,목동IC,1684.76125690435
2102,목동IC,1897.42569753921
2103,목동IC,2163.85319827127
2104,목동IC,2466.68393815079
2105,오류나들목,2620.77539512472
2106,오류나들목,2227.61801368024
2107,오류나들목,1837.47993248618
2108,오류나들목,1452.79562702662
2109,광명교나들목,1093.73505110215
2110,광명교나들목,718.318595195428
2163,가양대교분기점,1047.3870157509
2164,가양대교분기점,1075.97586985515
2165,가양대교분기점,1240.43914752139
2170,염창분기점,254.37891325193
2171,염창분기점,556.720876250563
2172,염창분기점,935.628124396237
2173,양평1나들목,1129.3137596068
2174,양평1나들목,1348.70473415645
2175,목동IC,1187.46408405764
2176,목동IC,1171.02229478082
2177,목동IC,1285.59255975399
2178,목동IC,1501.47793702011
2179,목동IC,1782.23357387186
2180,목동IC,2102.02516138942
2181,목동IC,2445.58700461521
2182,오류나들목,2384.0892852832
2183,오류나들목,1984.39293335953
2184,오류나들목,1584.92309044098
2185,오류나들목,1185.90867528994
2186,오류나들목,788.041791069963
2187,오류나들목,401.496887581992
2189,오류나들목,431.619124006904
2190,철산교나들목,440.618151472075
2236,가양대교분기점,1785.28357702681
2237,가양대교분기점,1564.35195413579
2238,가양대교분기점,1423.93207497569
2239,가양대교분기점,1388.59642055289
2240,가양대교분기점,1465.96365284403
2241,염창분기점,1698.22999585655
2246,염창분기점,327.45526219161
2247,양평1나들목,575.285073874843
2248,양평1나들목,732.043531987522
2249,양평1나들목,963.972603914119
2250,목동IC,929.980249893875
2251,목동IC,816.069274704828
2252,목동IC,887.303644199063
2253,목동IC,1108.54830875336
2254,목동IC,1410.91596085041
2255,목동IC,1752.91792283748
2256,목동IC,2115.41758045034
2257,목동IC,2489.4767994436
2258,오류나들목,2195.34304608746
2259,오류나들목,1798.21580688289
2260,오류나들목,1402.80487993506
2261,오류나들목,1011.12581763819
2262,오류나들목,630.175968983743
2263,오류나들목,303.480690500439
2264,오류나들목,327.584724812042
2265,오류나들목,665.398691857982
2266,철산교나들목,356.754919242702
2267,철산교나들목,316.719720419168
2313,가양대교분기점,1964.21438344845
2314,가양대교분기점,1810.63729549129
2315,가양대교분기점,1737.50072956952
2316,가양대교분기점,1754.89095171958
2317,염창분기점,1949.89469278079
2318,염창분기점,1564.01911601942
2323,양평1나들목,268.029316982334
2324,양평1나들목,313.302135002562
2325,양평1나들목,599.761655832922
2326,목동IC,799.930071700216
2327,목동IC,529.978583657244
2328,목동IC,492.036103435341
2329,목동IC,723.570869670003
2330,목동IC,1060.77477730139
2331,목동IC,1430.79156456015
2332,목동IC,1813.64795994037
2333,목동IC,2202.65893688859
2334,오류나들목,2453.87046832711
2335,오류나들목,2067.7069996281
2336,오류나들목,1688.06895345788
2337,오류나들목,1320.59605529778
2338,오류나들목,979.083083907055
2339,오류나들목,702.471368363393
2340,오류나들목,590.390511252694
2341,오류나들목,723.801410876291
2342,철산교나들목,753.465816473532
2343,철산교나들목,616.953597467264
2344,철산교나들목,716.788203867733
2345,금천나들목,1019.48468881263
2388,가양대교분기점,2364.17275486537
2389,가양대교분기점,2202.15024271177
2390,가양대교분기점,2104.72107788155
2391,가양대교분기점,2080.97769989216
2392,염창분기점,2245.08956443574
2393,염창분기점,1877.33231099612
2394,염창분기점,1525.96161749505
2399,양평1나들목,55.0695104662752
2400,양평1나들목,332.291283786187
2401,양평1나들목,729.444990136016
2402,목동IC,464.777771150373
2403,목동IC,130.858658464224
2404,목동IC,372.105894422259
2405,목동IC,761.600158241406
2406,목동IC,1158.37817726695
