InputID,TargetID,Distance
797,248,397.700879123867
798,416,426.403239704174
800,250,613.742959660146
801,250,903.669084693751
871,247,426.557346869804
872,248,398.075242943887
873,416,370.542499756209
874,416,55.8800586016663
875,250,217.481778244556
876,250,571.9462198111
877,250,962.898525363572
945,247,655.877440797072
946,247,269.283544724222
947,247,187.294367081089
948,247,563.801272396511
949,417,270.272848235238
950,417,337.259576552769
951,250,195.302299589361
952,250,397.308112340474
953,250,773.169830923202
954,250,1165.31392428921
955,250,1561.52124551013
1021,247,637.167533777916
1022,247,456.546104322844
1023,247,575.424653952128
1024,417,369.714994673437
1025,417,131.423264930326
1026,417,466.992974471111
1027,250,555.708635199856
1028,250,767.226518976247
1029,250,1090.26980351501
1030,251,1393.56332065578
1031,251,1756.90407205545
1045,67,517.62819078512
1098,247,837.864643960824
1099,247,815.219403267846
1100,417,721.497496966661
1101,417,490.945677911445
1104,251,384.359550303469
1105,251,701.324493578762
1106,251,1075.27104683769
1107,251,1463.14305537699
1108,258,1377.02187872598
1121,67,510.046925820373
1122,67,127.042171026252
1126,50,1218.74393438047
1174,418,1223.45584361682
1175,418,844.389269727219
1176,418,499.370210917102
1177,418,325.540024283622
1179,251,48.7479495962586
1180,251,431.724725890182
1181,251,831.038071280607
1182,258,913.943381766257
1183,258,980.121225501319
1184,258,1185.8378192288
1185,258,1473.77530701023
1186,259,1477.4902432377
1197,67,410.4418685675
1198,67,290.806248636129
1251,418,979.704145434711
1252,418,579.726745888291
1257,251,738.423033243615
1258,258,616.508723558624
1259,258,587.634067822416
1260,258,794.212412376165
1261,259,938.749554347855
1262,259,1077.36650582434
1263,259,1326.80646050183
1264,259,1634.80144378109
1265,260,1607.04258576609
1266,260,1814.26988539016
1268,342,1956.71783227737
1269,342,1796.92086564888
1273,67,800.633316982122
1274,67,630.083571050906
1275,67,687.913596703266
1327,418,861.988592743671
1332,257,425.447053234811
1333,258,495.077747335626
1334,258,224.094368394036
1335,258,419.003011736834
1336,259,582.524133479744
1337,259,677.264956432251
1338,259,947.771264960838
1339,259,1287.66533481278
1340,260,1214.84998594939
1341,260,1416.86644512192
1342,260,1690.97306360659
1343,121,1703.40305580289
1344,121,1830.90631708834
1349,362,1013.52940293523
1350,362,660.59674156399
1351,362,407.14034720886
1404,419,575.873329358994
1405,419,339.14558685902
1407,257,353.803179631102
1408,257,46.3410331681582
1409,257,446.483414806681
1410,258,274.50239747597
1411,258,201.450546744504
1412,259,342.996672626823
1413,259,277.282536431242
1414,259,596.953722641288
1415,260,787.929218601581
1416,260,819.840532428713
1417,260,1021.60366427665
1418,260,1317.36065610174
1419,121,1327.77362834582
1420,121,1433.00527855974
1421,121,1632.25463658931
1425,49,685.036089156462
1426,362,739.203679908256
1427,362,340.121405920837
1428,362,71.9181780305989
1429,362,463.563416432912
1480,419,271.071335481164
1481,419,130.322401209909
1482,419,529.827940475233
1483,257,378.838904377268
1484,257,424.975656765662
1485,258,648.624790923419
1486,258,475.215987365934
1487,259,464.960494257253
1488,259,123.743369962057
1489,259,366.968657781622
1490,260,545.393555960027
1491,260,434.333248091572
1492,260,632.507922470334
1493,260,965.254803473188
1494,121,971.911735723968
1495,121,1036.83119734636
1496,121,1235.17421848062
1497,121,1515.4278856596
1498,49,1298.86519778768
1499,49,912.639639390066
1500,49,546.809853891761
1501,49,292.096759266919
1502,49,438.029237308906
1504,362,405.968408496966
1557,419,368.182845205141
1558,419,489.057918491297
1559,419,814.264272420582
1560,257,694.327461983192
1561,257,824.190978454389
1562,258,855.165327594262
1563,259,796.843444507826
1564,259,523.420241832455
1565,259,482.915724155477
1566,260,542.49913154314
1567,260,159.315985653584
1568,260,276.925403681624
1569,260,669.495030190471
1570,121,668.18507340115
1571,121,645.571710350976
1572,121,841.002045387456
1573,121,1148.05753936921
1574,49,1468.75368934967
1575,49,1069.10355431862
1576,49,670.042665591342
1577,49,274.156326788257
1578,49,146.955650600209
1584,361,1086.20191958547
1633,438,791.955018445684
1634,438,513.452870970844
1635,438,469.366860419663
1636,438,705.129029373353
1637,438,1046.10656526231
1638,259,1172.1607538003
1639,259,923.501523347653
1640,259,807.452181378555
1641,260,781.91205316003
1642,260,427.021794586063
1643,260,271.180281789963
1644,260,533.816312403983
1645,121,518.227648082806
1646,121,280.599910642781
1647,121,457.321492906602
1648,121,812.268311132825
1649,121,1196.09652369941
1650,49,1331.64707183151
1651,49,958.719661826276
1652,49,620.671223566191
1653,49,414.188432059684
1710,438,465.069154625062
1711,438,113.337851003836
1712,438,360.044544717226
1713,438,752.761008344043
1714,438,1150.60708017192
1715,421,1137.71460503811
1716,259,1179.39847102365
1717,260,1117.45158973045
1718,260,812.123101312299
1719,260,624.995954391756
1720,261,542.084791183001
1721,261,243.628582430873
1722,121,246.859950519448
1723,121,176.723928699334
1724,121,567.23296684746
1725,121,965.663248887725
1726,121,1365.09639281077
1727,48,1148.29172985077
1728,48,789.999793790602
1729,48,499.856031216688
1730,48,442.541557455328
1731,48,679.750401658596
1732,361,779.928872497164
1786,438,354.423611825278
1787,438,286.857897486788
1788,420,422.872761454222
1789,420,646.557399717809
1790,421,751.642920361752
1791,421,917.35236294512
1793,260,1207.05054052715
1794,261,1100.0212782415
1795,261,703.704243514619
1796,261,317.148513894304
1797,261,161.856001201885
1798,121,416.593456797075
1799,121,551.322839610823
1800,148,726.734722142871
1801,148,781.673101382336
1802,148,1007.03195663
1803,48,871.074196093564
1804,48,473.720459016744
