fid,id,left,top,right,bottom,row_index,col_index,18도 미만 경사 목록_avgDN,2017공시지가_avg_Land_Value,2017사업체수
1260,940578,1949787.1587,941039.697699572,1949387.1587,43,16,,5.57049511650896,2557599.47878731,36
1261,940578,1949387.1587,941039.697699572,1948987.1587,44,16,,1.82002254696726,2192895.40071958,79
1262,940578,1948987.1587,941039.697699572,1948587.1587,45,16,,0.872989625802482,1995999.99900912,138
1263,940578,1948587.1587,941039.697699572,1948187.1587,46,16,,2.91769788701328,1965312.35066929,57
1264,940578,1948187.1587,941039.697699572,1947787.1587,47,16,,6.92978966744956,1041658.49190293,33
1265,940578,1947787.1587,941039.697699572,1947387.1587,48,16,,6.7628709783736,474988.64095476,0
1266,940578,1947387.1587,941039.697699572,1946987.1587,49,16,,8.00657352161203,1420250.30323925,46
1268,940578,1946587.1587,941039.697699572,1946187.1587,51,16,,3.4120178724983,1622974.19421434,6
1269,940578,1946187.1587,941039.697699572,1945787.1587,52,16,,7.83681225682035,1968583.53070762,26
1273,940578,1944587.1587,941039.697699572,1944187.1587,56,16,,4.4648787744705,1796619.42629209,59
1274,940578,1944187.1587,941039.697699572,1943787.1587,57,16,,2.64110834270216,2101923.08689026,34
1275,940578,1943787.1587,941039.697699572,1943387.1587,58,16,,9.0895841468397,1455069.43977488,16
1327,940924,1953187.1587,941386.107861086,1952787.1587,34,17,,0.802656978940802,40626.5521851297,0
1332,940924,1951187.1587,941386.107861086,1950787.1587,39,17,,1.64048890729994,110317.892710388,2
1333,940924,1950787.1587,941386.107861086,1950387.1587,40,17,,1.55992476694087,2059056.13361963,99
1334,940924,1950387.1587,941386.107861086,1949987.1587,41,17,,2.61156976398573,2481592.9750875,182
1335,940924,1949987.1587,941386.107861086,1949587.1587,42,17,,2.18076674513794,2570803.89705701,71
1336,940924,1949587.1587,941386.107861086,1949187.1587,43,17,,1.78302722397832,2203816.5958137,114
1337,940924,1949187.1587,941386.107861086,1948787.1587,44,17,,0.510126038162391,2048969.8750225,128
1338,940924,1948787.1587,941386.107861086,1948387.1587,45,17,,0,1898479.14022599,134
1339,940924,1948387.1587,941386.107861086,1947987.1587,46,17,,1.05208247632907,1915952.58372055,168
1340,940924,1947987.1587,941386.107861086,1947587.1587,47,17,,2.43135338708716,1399345.17061781,45
1341,940924,1947587.1587,941386.107861086,1947187.1587,48,17,,1.46981917776813,1407113.70660353,126
1342,940924,1947187.1587,941386.107861086,1946787.1587,49,17,,3.56107137291902,1861938.19084266,121
1343,940924,1946787.1587,941386.107861086,1946387.1587,50,17,,4.26348771192366,2032606.95120503,31
1344,940924,1946387.1587,941386.107861086,1945987.1587,51,17,,4.41108241674292,1876206.24099627,49
1349,940924,1944387.1587,941386.107861086,1943987.1587,56,17,,6.54998662208893,1886890.3296956,87
1350,940924,1943987.1587,941386.107861086,1943587.1587,57,17,,2.38877801845092,2613737.15186848,17
1351,940924,1943587.1587,941386.107861086,1943187.1587,58,17,,7.31660182092315,1532559.01532356,20
1404,941271,1952987.1587,941732.5180226,1952587.1587,35,18,,5.35666117984657,759625.898728756,21
1405,941271,1952587.1587,941732.5180226,1952187.1587,36,18,,0.94514168136925,322655.501352068,4
1407,941271,1951787.1587,941732.5180226,1951387.1587,38,18,,0.281974735586216,488816.273431472,186
1408,941271,1951387.1587,941732.5180226,1950987.1587,39,18,,1.03199356173627,2569358.25735043,209
1409,941271,1950987.1587,941732.5180226,1950587.1587,40,18,,0.906523718327572,2534319.07161764,101
1410,941271,1950587.1587,941732.5180226,1950187.1587,41,18,,4.39048879649943,2995776.62546281,102
1411,941271,1950187.1587,941732.5180226,1949787.1587,42,18,,2.01792276681888,3334932.34242836,150
1412,941271,1949787.1587,941732.5180226,1949387.1587,43,18,,1.57960187190481,2752751.56841089,181
1413,941271,1949387.1587,941732.5180226,1948987.1587,44,18,,0.906801218627643,2730284.8776511,239
1414,941271,1948987.1587,941732.5180226,1948587.1587,45,18,,0.808766290226591,2115447.80927951,146
1415,941271,1948587.1587,941732.5180226,1948187.1587,46,18,,0.468063000316857,2439385.51145413,256
1416,941271,1948187.1587,941732.5180226,1947787.1587,47,18,,0.695896652570059,2115032.50332463,220
1417,941271,1947787.1587,941732.5180226,1947387.1587,48,18,,0.858832753091516,1884680.57625165,40
1418,941271,1947387.1587,941732.5180226,1946987.1587,49,18,,2.83761353462046,1842472.21872463,63
1419,941271,1946987.1587,941732.5180226,1946587.1587,50,18,,3.13808497889457,2212243.92296526,117
1420,941271,1946587.1587,941732.5180226,1946187.1587,51,18,,5.52937022142055,1470026.96815308,66
1421,941271,1946187.1587,941732.5180226,1945787.1587,52,18,,1.67636071339701,2497970.15157872,60
1425,941271,1944587.1587,941732.5180226,1944187.1587,56,18,,8.47011131504131,1490578.03006096,41
1426,941271,1944187.1587,941732.5180226,1943787.1587,57,18,,3.3128024871076,2235810.2123239,53
1427,941271,1943787.1587,941732.5180226,1943387.1587,58,18,,1.750401797857,2360481.36144884,38
1428,941271,1943387.1587,941732.5180226,1942987.1587,59,18,,7.70324395892652,308297.729660869,58
1429,941271,1942987.1587,941732.5180226,1942587.1587,60,18,,6.0753601872276,7841.89390017973,26
1480,941617,1952787.1587,942078.928184113,1952387.1587,35,19,,1.27004911626625,2900196.42079828,104
1481,941617,1952387.1587,942078.928184113,1951987.1587,36,19,,0.0783083911402281,2582928.13776704,211
1482,941617,1951987.1587,942078.928184113,1951587.1587,37,19,,0,3196195.70005981,98
1483,941617,1951587.1587,942078.928184113,1951187.1587,38,19,,0.0003926414860349,3731846.64734617,136
1484,941617,1951187.1587,942078.928184113,1950787.1587,39,19,,1.62091229408716,3414514.67876817,105
1485,941617,1950787.1587,942078.928184113,1950387.1587,40,19,,10.6458812653676,925657.583942634,11
1486,941617,1950387.1587,942078.928184113,1949987.1587,41,19,,10.6358782404011,1567053.11055278,7
1487,941617,1949987.1587,942078.928184113,1949587.1587,42,19,,4.20323429051388,2667299.2975701,69
1488,941617,1949587.1587,942078.928184113,1949187.1587,43,19,,2.35783317771702,3478120.13747424,271
1489,941617,1949187.1587,942078.928184113,1948787.1587,44,19,,6.69036333543845,1881874.22453905,67
1490,941617,1948787.1587,942078.928184113,1948387.1587,45,19,,4.91216848633753,2009724.44013268,95
1491,941617,1948387.1587,942078.928184113,1947987.1587,46,19,,3.06324677162448,2102904.47597983,98
1492,941617,1947987.1587,942078.928184113,1947587.1587,47,19,,0.0541561695667632,2255445.50658679,115
1493,941617,1947587.1587,942078.928184113,1947187.1587,48,19,,0.728583273015266,2275251.97214661,180
1494,941617,1947187.1587,942078.928184113,1946787.1587,49,19,,0.84851188531285,2158906.83306732,168
1495,941617,1946787.1587,942078.928184113,1946387.1587,50,19,,1.82594808716623,3241005.87996144,129
1496,941617,1946387.1587,942078.928184113,1945987.1587,51,19,,4.45023986681003,1955143.71510267,22
1497,941617,1945987.1587,942078.928184113,1945587.1587,52,19,,1.8752285882672,2210260.89310595,27
1498,941617,1945587.1587,942078.928184113,1945187.1587,53,19,,14.4247735647929,366418.91819004,3
1499,941617,1945187.1587,942078.928184113,1944787.1587,54,19,,6.42498927139849,1563282.10457406,58
1500,941617,1944787.1587,942078.928184113,1944387.1587,55,19,,8.17608844145522,1960293.21661058,40
1501,941617,1944387.1587,942078.928184113,1943987.1587,56,19,,1.53699098522074,2906533.69056027,238
1502,941617,1943987.1587,942078.928184113,1943587.1587,57,19,,4.6457831072102,2229111.00656273,148
1504,941617,1943187.1587,942078.928184113,1942787.1587,59,19,,8.68342306367873,42531.6462533079,2
1557,941963,1952587.1587,942425.338345627,1952187.1587,36,20,,0.0535402815552523,3561925.59537261,1
1558,941963,1952187.1587,942425.338345627,1951787.1587,37,20,,0,3561110.93456766,41
1559,941963,1951787.1587,942425.338345627,1951387.1587,38,20,,0,3378047.57771216,137
1560,941963,1951387.1587,942425.338345627,1950987.1587,39,20,,3.32081737143987,3803775.11631026,178
1561,941963,1950987.1587,942425.338345627,1950587.1587,40,20,,16.8820860262615,792493.408847811,2
1562,941963,1950587.1587,942425.338345627,1950187.1587,41,20,,9.69762650900214,1091358.11383317,30
1563,941963,1950187.1587,942425.338345627,1949787.1587,42,20,,4.96412364858466,2238556.44149301,135
1564,941963,1949787.1587,942425.338345627,1949387.1587,43,20,,2.09728308644893,2445798.39180169,191
1565,941963,1949387.1587,942425.338345627,1948987.1587,44,20,,5.17510705144517,1756542.80437439,66
1566,941963,1948987.1587,942425.338345627,1948587.1587,45,20,,8.57456768680624,1479649.08516028,53
1567,941963,1948587.1587,942425.338345627,1948187.1587,46,20,,3.64021365440687,2670906.96517011,285
1568,941963,1948187.1587,942425.338345627,1947787.1587,47,20,,2.22053408250479,2948337.58157551,241
1569,941963,1947787.1587,942425.338345627,1947387.1587,48,20,,1.8460863539251,1870996.49976072,62
1570,941963,1947387.1587,942425.338345627,1946987.1587,49,20,,3.16753771946825,2374867.4673723,123
1571,941963,1946987.1587,942425.338345627,1946587.1587,50,20,,3.32461094209632,3195009.83729218,67
1572,941963,1946587.1587,942425.338345627,1946187.1587,51,20,,12.0706843647002,1051947.26797553,0
1573,941963,1946187.1587,942425.338345627,1945787.1587,52,20,,6.4173008935451,1238748.06575982,2
1574,941963,1945787.1587,942425.338345627,1945387.1587,53,20,,4.10881415276185,1545956.3863443,64
1575,941963,1945387.1587,942425.338345627,1944987.1587,54,20,,1.43664457770664,1785969.16635528,101
1576,941963,1944987.1587,942425.338345627,1944587.1587,55,20,,4.77228318650032,2094703.34798301,89
1577,941963,1944587.1587,942425.338345627,1944187.1587,56,20,,3.45094254219784,2790848.34360401,157
1578,941963,1944187.1587,942425.338345627,1943787.1587,57,20,,6.01997722658177,1433402.78332065,81
1584,941963,1941787.1587,942425.338345627,1941387.1587,63,20,,2,310200,0
1633,942310,1952387.1587,942771.748507141,1951987.1587,36,21,,2.09597296183168,2956693.74069401,114
1634,942310,1951987.1587,942771.748507141,1951587.1587,37,21,,0,3470934.28446356,104
1635,942310,1951587.1587,942771.748507141,1951187.1587,38,21,,0,3136698.37906753,35
1636,942310,1951187.1587,942771.748507141,1950787.1587,39,21,,1.45560704869828,3744643.91897879,73
1637,942310,1950787.1587,942771.748507141,1950387.1587,40,21,,2.24020107141313,3462706.76666485,254
1638,942310,1950387.1587,942771.748507141,1949987.1587,41,21,,1.35238156492203,2697464.16865,206
1639,942310,1949987.1587,942771.748507141,1949587.1587,42,21,,6.22896342451774,1697404.06352836,87
1640,942310,1949587.1587,942771.748507141,1949187.1587,43,21,,7.67751356410963,1302344.84659313,60
1641,942310,1949187.1587,942771.748507141,1948787.1587,44,21,,7.11320466600434,1445527.84238073,53
1642,942310,1948787.1587,942771.748507141,1948387.1587,45,21,,5.9261236326644,1789240.00439451,89
1643,942310,1948387.1587,942771.748507141,1947987.1587,46,21,,3.21754898302253,2532589.08835651,192
1644,942310,1947987.1587,942771.748507141,1947587.1587,47,21,,2.7456870096589,2185930.54125367,53
1645,942310,1947587.1587,942771.748507141,1947187.1587,48,21,,4.09573131520327,2297330.29098831,73
1646,942310,1947187.1587,942771.748507141,1946787.1587,49,21,,7.7737200224996,3342684.27375361,53
1647,942310,1946787.1587,942771.748507141,1946387.1587,50,21,,7.15465982986575,2647461.20559347,44
1648,942310,1946387.1587,942771.748507141,1945987.1587,51,21,,13.3317067936568,654163.725220808,11
1649,942310,1945987.1587,942771.748507141,1945587.1587,52,21,,10.3449381242116,885898.354759651,20
1650,942310,1945587.1587,942771.748507141,1945187.1587,53,21,,8.14885712446856,1336827.26189197,23
1651,942310,1945187.1587,942771.748507141,1944787.1587,54,21,,2.25614381877615,2416542.66153672,274
1652,942310,1944787.1587,942771.748507141,1944387.1587,55,21,,2.48456026212843,2013032.15558367,32
1653,942310,1944387.1587,942771.748507141,1943987.1587,56,21,,3.64887025989475,1563837.49611821,13
1710,942656,1952187.1587,943118.158668655,1951787.1587,37,22,,0.883490082956278,3133950.88268767,63
1711,942656,1951787.1587,943118.158668655,1951387.1587,38,22,,0.131854555016516,3279215.86871238,237
1712,942656,1951387.1587,943118.158668655,1950987.1587,39,22,,0,2705234.37019007,90
1713,942656,1950987.1587,943118.158668655,1950587.1587,40,22,,1.42067281416629,3247167.01915056,202
1714,942656,1950587.1587,943118.158668655,1950187.1587,41,22,,8.03952961297109,1694008.88917003,79
1715,942656,1950187.1587,943118.158668655,1949787.1587,42,22,,12.3949977222852,960218.220701446,20
1716,942656,1949787.1587,943118.158668655,1949387.1587,43,22,,17.4692442504411,94340.1112911915,0
1717,942656,1949387.1587,943118.158668655,1948987.1587,44,22,,16.6473401194755,327381.470819354,11
1718,942656,1948987.1587,943118.158668655,1948587.1587,45,22,,9.40321515493702,1130208.69708069,37
1719,942656,1948587.1587,943118.158668655,1948187.1587,46,22,,6.02447058475421,1808738.55264507,62
1720,942656,1948187.1587,943118.158668655,1947787.1587,47,22,,0.342904003904678,2177715.08706339,127
1721,942656,1947787.1587,943118.158668655,1947387.1587,48,22,,4.8442931985522,2188804.37174308,104
1722,942656,1947387.1587,943118.158668655,1946987.1587,49,22,,2.62930055134113,2983990.55383281,246
1723,942656,1946987.1587,943118.158668655,1946587.1587,50,22,,1.64800274997688,3911972.62156879,182
1724,942656,1946587.1587,943118.158668655,1946187.1587,51,22,,7.5375209116027,2252006.14394071,29
1725,942656,1946187.1587,943118.158668655,1945787.1587,52,22,,8.18897131443808,1968491.75716321,16
1726,942656,1945787.1587,943118.158668655,1945387.1587,53,22,,7.9370569181447,1304337.34127269,35
1727,942656,1945387.1587,943118.158668655,1944987.1587,54,22,,4.39579815904644,1508396.55098816,65
1728,942656,1944987.1587,943118.158668655,1944587.1587,55,22,,6.38490768897161,2236757.06517657,77
1729,942656,1944587.1587,943118.158668655,1944187.1587,56,22,,2.60058186637165,2721251.00597174,41
1730,942656,1944187.1587,943118.158668655,1943787.1587,57,22,,1.64405588937422,2275721.08709684,111
1731,942656,1943787.1587,943118.158668655,1943387.1587,58,22,,2.98095350953432,2257003.96812308,115
1732,942656,1943387.1587,943118.158668655,1942987.1587,59,22,,1.32363830934561,2206119.77268368,148
1786,943003,1951987.1587,943464.568830168,1951587.1587,37,23,,0.925185713530107,2422939.25790686,39
1787,943003,1951587.1587,943464.568830168,1951187.1587,38,23,,0,3814065.22209956,131
1788,943003,1951187.1587,943464.568830168,1950787.1587,39,23,,1.21299755191296,3174182.61910739,160
1789,943003,1950787.1587,943464.568830168,1950387.1587,40,23,,9.8227234635669,954277.208603769,16
1790,943003,1950387.1587,943464.568830168,1949987.1587,41,23,,14.0731918618072,965274.795620873,10
1791,943003,1949987.1587,943464.568830168,1949587.1587,42,23,,11.21660645888,1253010.79644025,16
1793,943003,1949187.1587,943464.568830168,1948787.1587,44,23,,8.2130535409623,956890.193645877,15
1794,943003,1948787.1587,943464.568830168,1948387.1587,45,23,,2.73733662266006,1879087.34765142,96
1795,943003,1948387.1587,943464.568830168,1947987.1587,46,23,,2.03231599974386,2278943.45063345,200
1796,943003,1947987.1587,943464.568830168,1947587.1587,47,23,,0.0996535097471263,2360308.36876566,105
1797,943003,1947587.1587,943464.568830168,1947187.1587,48,23,,3.27469723026661,2329986.62211457,142
1798,943003,1947187.1587,943464.568830168,1946787.1587,49,23,,0.0501323835267307,3498648.02759566,187
1799,943003,1946787.1587,943464.568830168,1946387.1587,50,23,,1.22874489819057,4718077.93909851,30
1800,943003,1946387.1587,943464.568830168,1945987.1587,51,23,,3.23284135981602,3383861.28954595,51
1801,943003,1945987.1587,943464.568830168,1945587.1587,52,23,,8.09604018878407,1773743.84581,0
1802,943003,1945587.1587,943464.568830168,1945187.1587,53,23,,2.75053910423012,2589618.81444649,122
1803,943003,1945187.1587,943464.568830168,1944787.1587,54,23,,4.68487905175671,2315104.89459727,44
1804,943003,1944787.1587,943464.568830168,1944387.1587,55,23,,1.17767990249133,2900543.35010845,63
1805,943003,1944387.1587,943464.568830168,1943987.1587,56,23,,0.878086574570699,2661076.94220753,184
1806,943003,1943987.1587,943464.568830168,1943587.1587,57,23,,0.741821265131043,3437212.11172654,180
1863,943349,1951787.1587,943810.978991682,1951387.1587,38,24,,0.52395047834215,2921504.81493407,62
1864,943349,1951387.1587,943810.978991682,1950987.1587,39,24,,0.26842164536515,4246918.98139,196
1865,943349,1950987.1587,943810.978991682,1950587.1587,40,24,,1.69896309748551,3001468.02030976,93
1866,943349,1950587.1587,943810.978991682,1950187.1587,41,24,,5.30745056248152,2483539.19603082,52
1867,943349,1950187.1587,943810.978991682,1949787.1587,42,24,,2.88193662511038,2575347.28695713,96
1868,943349,1949787.1587,943810.978991682,1949387.1587,43,24,,3.56105928870448,2968120.62704958,87
1869,943349,1949387.1587,943810.978991682,1948987.1587,44,24,,17.7475060198923,590449.934264001,0
1870,943349,1948987.1587,943810.978991682,1948587.1587,45,24,,8.98709614111101,1733259.61603913,89
1871,943349,1948587.1587,943810.978991682,1948187.1587,46,24,,2.24004741748161,2760467.99809897,288
1872,943349,1948187.1587,943810.978991682,1947787.1587,47,24,,0,2355015.78868922,117
1873,943349,1947787.1587,943810.978991682,1947387.1587,48,24,,0,3235181.37560711,340
1874,943349,1947387.1587,943810.978991682,1946987.1587,49,24,,0.445695061311135,2953750.01542395,160
1875,943349,1946987.1587,943810.978991682,1946587.1587,50,24,,0.584952556061342,4872273.99430635,40
1876,943349,1946587.1587,943810.978991682,1946187.1587,51,24,,0.132338120998399,4943472.88956399,160
1877,943349,1946187.1587,943810.978991682,1945787.1587,52,24,,2.37157743967218,3621646.58247687,31
1878,943349,1945787.1587,943810.978991682,1945387.1587,53,24,,0.990538314924298,2903938.60220086,24
1879,943349,1945387.1587,943810.978991682,1944987.1587,54,24,,2.81607427417236,2831790.82109397,137
1880,943349,1944987.1587,943810.978991682,1944587.1587,55,24,,0.02002682268268,2890682.28773824,71
1881,943349,1944587.1587,943810.978991682,1944187.1587,56,24,,0.676392613048701,2894159.79328407,133
1882,943349,1944187.1587,943810.978991682,1943787.1587,57,24,,0.173759343737498,1934266.46551582,35
1935,943696,1953187.1587,944157.389153196,1952787.1587,34,25,,3.62903018821813,307042.744973283,0
1940,943696,1951187.1587,944157.389153196,1950787.1587,39,25,,1.65855162375168,3560278.29736343,180
1941,943696,1950787.1587,944157.389153196,1950387.1587,40,25,,1.76540580269254,3485512.82007258,188
1942,943696,1950387.1587,944157.389153196,1949987.1587,41,25,,0.883870829317562,4364292.21120901,361
1943,943696,1949987.1587,944157.389153196,1949587.1587,42,25,,4.55167071366047,2882150.59314723,57
1944,943696,1949587.1587,944157.389153196,1949187.1587,43,25,,5.13932146656413,2403987.32909877,71
1945,943696,1949187.1587,944157.389153196,1948787.1587,44,25,,2.61617861285448,2657987.01458462,242
1946,943696,1948787.1587,944157.389153196,1948387.1587,45,25,,5.1826157800478,2516332.34738687,136
1947,943696,1948387.1587,944157.389153196,1947987.1587,46,25,,2.32491263881075,3286305.8242844,209
1948,943696,1947987.1587,944157.389153196,1947587.1587,47,25,,0,5018728.4933632,115
1949,943696,1947587.1587,944157.389153196,1947187.1587,48,25,,0,4250872.63535966,110
1950,943696,1947187.1587,944157.389153196,1946787.1587,49,25,,0.808128533297988,4560361.28363239,5
1951,943696,1946787.1587,944157.389153196,1946387.1587,50,25,,0.610329164347192,4796121.6422462,44
1952,943696,1946387.1587,944157.389153196,1945987.1587,51,25,,0.852665817336341,3934073.23302815,32
1953,943696,1945987.1587,944157.389153196,1945587.1587,52,25,,2.30141394309151,2110074.31697985,153
1954,943696,1945587.1587,944157.389153196,1945187.1587,53,25,,7.95874120942935,2355698.47150732,26
1955,943696,1945187.1587,944157.389153196,1944787.1587,54,25,,6.90431344604732,2242503.34498132,129
1956,943696,1944787.1587,944157.389153196,1944387.1587,55,25,,0.416847554704891,3093499.82953924,149
1957,943696,1944387.1587,944157.389153196,1943987.1587,56,25,,2.1346332489121,2018400.81614641,6
2012,944042,1952987.1587,944503.79931471,1952587.1587,35,26,,9.96030069065676,314343.815984373,0
2017,944042,1950987.1587,944503.79931471,1950587.1587,40,26,,1.81187760168848,3261108.97653338,59
2018,944042,1950587.1587,944503.79931471,1950187.1587,41,26,,1.32347203293159,3426938.37226751,90
